4.75s of 5.92s total (80.24%)
Dropped 564 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     1.33s 22.47% 22.47%      1.42s 23.99%  syscall.Syscall
     0.49s  8.28% 30.74%      0.70s 11.82%  runtime.scanobject
     0.28s  4.73% 35.47%      0.29s  4.90%  syscall.Syscall6
     0.22s  3.72% 39.19%      0.22s  3.72%  runtime.memclrNoHeapPointers
     0.20s  3.38% 42.57%      0.63s 10.64%  runtime.mallocgc
     0.16s  2.70% 45.27%      0.16s  2.70%  runtime.futex
     0.14s  2.36% 47.64%      0.14s  2.36%  runtime.heapBitsForObject
     0.10s  1.69% 49.32%      0.10s  1.69%  runtime.heapBitsSetType
     0.09s  1.52% 50.84%      0.10s  1.69%  runtime.greyobject
     0.08s  1.35% 52.20%      0.21s  3.55%  runtime.pcvalue
     0.07s  1.18% 53.38%      0.40s  6.76%  runtime.gentraceback
     0.07s  1.18% 54.56%      0.07s  1.18%  runtime.memmove
     0.06s  1.01% 55.57%      0.17s  2.87%  encoding/json.(*Decoder).readValue
     0.06s  1.01% 56.59%      0.06s  1.01%  runtime._ExternalCode
     0.06s  1.01% 57.60%      0.06s  1.01%  runtime.duffcopy
     0.06s  1.01% 58.61%      0.06s  1.01%  runtime.readvarint
     0.06s  1.01% 59.63%      0.07s  1.18%  runtime.unlock
     0.05s  0.84% 60.47%      0.05s  0.84%  runtime.findfunc
     0.05s  0.84% 61.32%      0.28s  4.73%  runtime.makeslice
     0.05s  0.84% 62.16%      0.14s  2.36%  syscall.ByteSliceFromString
     0.04s  0.68% 62.84%      0.07s  1.18%  encoding/json.(*decodeState).scanWhile
     0.04s  0.68% 63.51%      0.04s  0.68%  encoding/json.stateInString
     0.04s  0.68% 64.19%      0.14s  2.36%  runtime.mapassign
     0.04s  0.68% 64.86%      0.04s  0.68%  unicode.IsSpace
     0.03s  0.51% 65.37%      0.27s  4.56%  encoding/json.(*decodeState).object
     0.03s  0.51% 65.88%      0.03s  0.51%  math/big.addMulVVW
     0.03s  0.51% 66.39%      0.06s  1.01%  math/big.nat.montgomery
     0.03s  0.51% 66.89%      0.11s  1.86%  runtime.adjustframe
     0.03s  0.51% 67.40%      0.03s  0.51%  runtime.casgstatus
     0.03s  0.51% 67.91%      0.04s  0.68%  runtime.deferreturn
     0.03s  0.51% 68.41%      0.03s  0.51%  runtime.epollwait
     0.03s  0.51% 68.92%      0.03s  0.51%  runtime.evacuate
     0.03s  0.51% 69.43%      0.03s  0.51%  runtime.findObject
     0.03s  0.51% 69.93%      0.04s  0.68%  runtime.mapaccess1
     0.03s  0.51% 70.44%      0.10s  1.69%  runtime.rawstring
     0.03s  0.51% 70.95%      0.09s  1.52%  runtime.step
     0.02s  0.34% 71.28%      0.03s  0.51%  encoding/json.stateEndValue
     0.02s  0.34% 71.62%      0.03s  0.51%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
     0.02s  0.34% 71.96%      0.03s  0.51%  path.Clean
     0.02s  0.34% 72.30%      0.04s  0.68%  runtime.ifaceeq
     0.02s  0.34% 72.64%      0.28s  4.73%  runtime.newobject
     0.02s  0.34% 72.97%      0.05s  0.84%  runtime.reentersyscall
     0.02s  0.34% 73.31%      0.23s  3.89%  runtime.selectgoImpl
     0.02s  0.34% 73.65%      0.05s  0.84%  runtime.typedmemmove
     0.01s  0.17% 73.82%      0.14s  2.36%  bytes.(*Buffer).ReadFrom
     0.01s  0.17% 73.99%      0.03s  0.51%  fmt.(*pp).doPrintf
     0.01s  0.17% 74.16%      0.15s  2.53%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
     0.01s  0.17% 74.32%      0.07s  1.18%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.(*notifyingReader).Read
     0.01s  0.17% 74.49%      0.14s  2.36%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do.func1
     0.01s  0.17% 74.66%      0.33s  5.57%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readUInt64
     0.01s  0.17% 74.83%      0.04s  0.68%  github.com/openshift/origin/vendor/golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.01s  0.17% 75.00%      0.03s  0.51%  github.com/openshift/origin/vendor/golang.org/x/net/trace.(*trace).Finish
     0.01s  0.17% 75.17%      0.05s  0.84%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Server).HandleStreams
     0.01s  0.17% 75.34%      0.27s  4.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.(*dockerService).ListContainers
     0.01s  0.17% 75.51%      0.03s  0.51%  io.ReadAtLeast
     0.01s  0.17% 75.68%      0.03s  0.51%  io/ioutil.ReadDir.func1
     0.01s  0.17% 75.84%      0.03s  0.51%  math/big.(*Int).GCD
     0.01s  0.17% 76.01%      0.04s  0.68%  math/big.nat.divLarge
     0.01s  0.17% 76.18%      0.03s  0.51%  net.(*netFD).connect
     0.01s  0.17% 76.35%      0.05s  0.84%  net.dialSingle
     0.01s  0.17% 76.52%      0.06s  1.01%  net/http.(*bodyEOFSignal).condfn
     0.01s  0.17% 76.69%      0.17s  2.87%  net/http.send
     0.01s  0.17% 76.86%      0.03s  0.51%  net/url.Values.Encode
     0.01s  0.17% 77.03%      0.75s 12.67%  os.Lstat
     0.01s  0.17% 77.20%      0.03s  0.51%  os.fillFileStatFromSys
     0.01s  0.17% 77.36%      0.18s  3.04%  runtime.(*mcentral).cacheSpan
     0.01s  0.17% 77.53%      0.03s  0.51%  runtime.(*mspan).sweep
     0.01s  0.17% 77.70%      0.07s  1.18%  runtime.SetFinalizer
     0.01s  0.17% 77.87%      0.06s  1.01%  runtime.chansend
     0.01s  0.17% 78.04%      0.04s  0.68%  runtime.exitsyscall
     0.01s  0.17% 78.21%      0.03s  0.51%  runtime.exitsyscallfast
     0.01s  0.17% 78.38%      0.18s  3.04%  runtime.findrunnable
     0.01s  0.17% 78.55%      0.03s  0.51%  runtime.heapBits.initSpan
     0.01s  0.17% 78.72%      0.05s  0.84%  runtime.netpoll
     0.01s  0.17% 78.89%      0.07s  1.18%  runtime.newarray
     0.01s  0.17% 79.05%      0.04s  0.68%  runtime.newproc1
     0.01s  0.17% 79.22%      0.14s  2.36%  runtime.newstack
     0.01s  0.17% 79.39%      0.05s  0.84%  runtime.notesleep
     0.01s  0.17% 79.56%      0.03s  0.51%  runtime.runqsteal
     0.01s  0.17% 79.73%      0.04s  0.68%  runtime.scanblock
     0.01s  0.17% 79.90%      0.04s  0.68%  runtime.sweepone
     0.01s  0.17% 80.07%      0.07s  1.18%  strings.FieldsFunc
     0.01s  0.17% 80.24%      0.03s  0.51%  syscall.ParseDirent
