42.14s of 47.20s total (89.28%)
Dropped 1003 nodes (cum <= 0.24s)
      flat  flat%   sum%        cum   cum%
     9.94s 21.06% 21.06%     10.03s 21.25%  syscall.Syscall
     5.41s 11.46% 32.52%     10.50s 22.25%  runtime.scanobject
     4.33s  9.17% 41.69%      4.34s  9.19%  syscall.Syscall6
     3.16s  6.69% 48.39%      3.18s  6.74%  runtime.greyobject
     2.13s  4.51% 52.90%      2.13s  4.51%  runtime.memclrNoHeapPointers
     1.98s  4.19% 57.10%      1.98s  4.19%  runtime.heapBitsForObject
     1.56s  3.31% 60.40%      3.43s  7.27%  strings.FieldsFunc
     1.29s  2.73% 63.14%      5.48s 11.61%  runtime.mallocgc
     1.09s  2.31% 65.44%      1.09s  2.31%  runtime.futex
        1s  2.12% 67.56%         1s  2.12%  runtime.heapBitsSetType
     0.91s  1.93% 69.49%      0.91s  1.93%  math/big.addMulVVW
     0.84s  1.78% 71.27%      0.84s  1.78%  runtime.memmove
     0.70s  1.48% 72.75%      2.89s  6.12%  runtime.mapassign
     0.66s  1.40% 74.15%      0.66s  1.40%  runtime.aeshashbody
     0.54s  1.14% 75.30%      0.54s  1.14%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.splitBlkioStatLine
     0.54s  1.14% 76.44%      0.54s  1.14%  syscall.RawSyscall6
     0.52s  1.10% 77.54%      0.52s  1.10%  runtime.(*mSpanList).remove
     0.46s  0.97% 78.52%      0.66s  1.40%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.45s  0.95% 79.47%      0.45s  0.95%  strconv.ParseUint
     0.35s  0.74% 80.21%      1.30s  2.75%  math/big.nat.montgomery
     0.32s  0.68% 80.89%      0.32s  0.68%  runtime.lock
     0.25s  0.53% 81.42%      0.25s  0.53%  runtime.duffcopy
     0.25s  0.53% 81.95%      0.64s  1.36%  runtime.evacuate
     0.25s  0.53% 82.48%      0.48s  1.02%  runtime.mapaccess2
     0.24s  0.51% 82.99%      0.28s  0.59%  runtime.mapiternext
     0.22s  0.47% 83.45%     11.30s 23.94%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.21s  0.44% 83.90%     11.04s 23.39%  runtime.gcDrain
     0.17s  0.36% 84.26%      0.31s  0.66%  bytes.(*Buffer).WriteString
     0.16s  0.34% 84.60%      0.42s  0.89%  runtime.typedmemmove
     0.12s  0.25% 84.85%      0.50s  1.06%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.12s  0.25% 85.11%         1s  2.12%  runtime.(*mcentral).cacheSpan
