281.95MB of 289.42MB total (97.42%)
Dropped 1731 nodes (cum <= 1.45MB)
      flat  flat%   sum%        cum   cum%
  135.53MB 46.83% 46.83%   138.82MB 47.97%  runtime.mapassign
   69.50MB 24.01% 70.84%    69.50MB 24.01%  runtime.rawstringtmp
   32.50MB 11.23% 82.07%    32.50MB 11.23%  runtime.makemap
   23.16MB  8.00% 90.08%    23.16MB  8.00%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    6.34MB  2.19% 92.27%     6.34MB  2.19%  bytes.makeSlice
    5.06MB  1.75% 94.02%     5.06MB  1.75%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    3.47MB  1.20% 95.21%    71.47MB 24.69%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    3.30MB  1.14% 96.35%     3.30MB  1.14%  runtime.hashGrow
    1.58MB  0.55% 96.90%     1.58MB  0.55%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.50MB  0.17% 97.07%     5.56MB  1.92%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.17% 97.24%   187.80MB 64.89%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    0.50MB  0.17% 97.42%   187.30MB 64.72%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 97.42%     4.81MB  1.66%  bytes.(*Buffer).ReadFrom
         0     0% 97.42%     1.54MB  0.53%  bytes.(*Buffer).WriteString
         0     0% 97.42%     1.54MB  0.53%  bytes.(*Buffer).grow
         0     0% 97.42%     1.51MB  0.52%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 97.42%     3.01MB  1.04%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 97.42%    10.44MB  3.61%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 97.42%     4.92MB  1.70%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 97.42%     2.01MB   0.7%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 97.42%     3.01MB  1.04%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 97.42%     2.01MB   0.7%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 97.42%     1.51MB  0.52%  github.com/openshift/origin/pkg/security/legacyclient.init
         0     0% 97.42%     2.50MB  0.86%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.Unmarshal
         0     0% 97.42%     2.50MB  0.86%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.UnmarshalMerge
         0     0% 97.42%    53.05MB 18.33%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 97.42%   259.27MB 89.58%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 97.42%   187.30MB 64.72%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 97.42%   206.72MB 71.42%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 97.42%     3.27MB  1.13%  github.com/openshift/origin/vendor/github.com/google/cadvisor/http.init
         0     0% 97.42%   260.27MB 89.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 97.42%   260.27MB 89.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 97.42%   260.27MB 89.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 97.42%     2.77MB  0.96%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.Asset
         0     0% 97.42%     2.77MB  0.96%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.bindataRead
         0     0% 97.42%     2.77MB  0.96%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.init
         0     0% 97.42%    71.47MB 24.69%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 97.42%    71.47MB 24.69%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 97.42%    71.47MB 24.69%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getStats
         0     0% 97.42%     4.04MB  1.40%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).GetMetricWithLabelValues
         0     0% 97.42%     4.04MB  1.40%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).WithLabelValues
         0     0% 97.42%     4.04MB  1.40%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*MetricVec).getOrCreateMetricWithLabelValues
         0     0% 97.42%     4.04MB  1.40%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*SummaryVec).WithLabelValues
         0     0% 97.42%     5.06MB  1.75%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.(*summary).newStream
         0     0% 97.42%     1.52MB  0.52%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.NewSummary
         0     0% 97.42%     4.04MB  1.40%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.NewSummaryVec.func1
         0     0% 97.42%     1.58MB  0.55%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Transport).getBodyWriterState.func1
         0     0% 97.42%     1.58MB  0.55%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*clientStream).writeRequestBody
         0     0% 97.42%     1.52MB  0.52%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).handleStream
         0     0% 97.42%     1.52MB  0.52%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).processUnaryRPC
         0     0% 97.42%     1.52MB  0.52%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).serveStreams.func1.1
         0     0% 97.42%     1.50MB  0.52%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/apis/meta/v1.(*ObjectMeta).Unmarshal
         0     0% 97.42%        3MB  1.04%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.Decode
         0     0% 97.42%     2.50MB  0.86%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/protobuf.(*Serializer).Decode
         0     0% 97.42%     2.50MB  0.86%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/protobuf.unmarshalToObject
         0     0% 97.42%        2MB  0.69%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer/versioning.(*codec).Decode
         0     0% 97.42%     2.55MB  0.88%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil
         0     0% 97.42%     2.55MB  0.88%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil.func1
         0     0% 97.42%     2.55MB  0.88%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.Until
         0     0% 97.42%        3MB  1.04%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/watch.(*StreamWatcher).receive
         0     0% 97.42%        3MB  1.04%  github.com/openshift/origin/vendor/k8s.io/client-go/rest/watch.(*Decoder).Decode
         0     0% 97.42%     1.54MB  0.53%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.(*controller).Run
         0     0% 97.42%     1.54MB  0.53%  github.com/openshift/origin/vendor/k8s.io/client-go/tools/cache.(*sharedIndexInformer).Run
         0     0% 97.42%     1.50MB  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kube-proxy/app.init
         0     0% 97.42%     3.92MB  1.35%  github.com/openshift/origin/vendor/k8s.io/kubernetes/cmd/kubelet/app.init
         0     0% 97.42%     1.50MB  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*Service).Unmarshal
         0     0% 97.42%     3.27MB  1.13%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cadvisor.init
         0     0% 97.42%     3.27MB  1.13%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cm.init
         0     0% 97.42%     1.52MB  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim/libdocker.recordOperation
         0     0% 97.42%     1.52MB  0.52%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.recordOperation
         0     0% 97.42%     3.27MB  1.13%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/server.init
         0     0% 97.42%     1.54MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).(github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.syncProxyRules)-fm
         0     0% 97.42%     1.54MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).SyncLoop
         0     0% 97.42%     1.54MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
         0     0% 97.42%     1.54MB  0.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
