139.61MB of 146.72MB total (95.16%)
Dropped 1560 nodes (cum <= 0.73MB)
      flat  flat%   sum%        cum   cum%
   62.51MB 42.61% 42.61%    64.67MB 44.07%  runtime.mapassign
      37MB 25.22% 67.83%       37MB 25.22%  runtime.rawstringtmp
   11.85MB  8.08% 75.91%    11.85MB  8.08%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
      11MB  7.50% 83.40%       11MB  7.50%  runtime.makemap
    5.06MB  3.45% 86.85%     5.06MB  3.45%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    4.87MB  3.32% 90.17%     4.87MB  3.32%  bytes.makeSlice
    2.15MB  1.47% 91.64%     2.15MB  1.47%  runtime.hashGrow
    1.58MB  1.08% 92.72%     1.58MB  1.08%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    1.50MB  1.02% 93.74%    82.87MB 56.48%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    0.88MB   0.6% 94.34%     0.88MB   0.6%  compress/flate.NewWriter
    0.69MB  0.47% 94.81%    36.19MB 24.67%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    0.50MB  0.34% 95.16%     5.56MB  3.79%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
         0     0% 95.16%     3.93MB  2.68%  bytes.(*Buffer).ReadFrom
         0     0% 95.16%     0.95MB  0.65%  bytes.(*Buffer).WriteString
         0     0% 95.16%     0.95MB  0.65%  bytes.(*Buffer).grow
         0     0% 95.16%     0.88MB   0.6%  compress/flate.NewWriterDict
         0     0% 95.16%     0.88MB   0.6%  compress/zlib.(*Writer).Write
         0     0% 95.16%     0.88MB   0.6%  compress/zlib.(*Writer).writeHeader
         0     0% 95.16%     1.08MB  0.73%  crypto/tls.(*Conn).Handshake
         0     0% 95.16%     1.08MB  0.73%  crypto/tls.(*Conn).clientHandshake
         0     0% 95.16%     1.08MB  0.73%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0% 95.16%     0.88MB   0.6%  encoding/binary.Write
         0     0% 95.16%     1.01MB  0.69%  github.com/openshift/origin/pkg/api/install.init
