252.62MB of 258.59MB total (97.69%)
Dropped 1699 nodes (cum <= 1.29MB)
      flat  flat%   sum%        cum   cum%
  115.52MB 44.67% 44.67%   119.76MB 46.31%  runtime.mapassign
      59MB 22.82% 67.49%       59MB 22.82%  runtime.rawstringtmp
      34MB 13.15% 80.64%       34MB 13.15%  runtime.makemap
   22.99MB  8.89% 89.53%    22.99MB  8.89%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    6.34MB  2.45% 91.98%     6.34MB  2.45%  bytes.makeSlice
    5.06MB  1.96% 93.94%     5.06MB  1.96%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    4.23MB  1.64% 95.58%     4.23MB  1.64%  runtime.hashGrow
    2.38MB  0.92% 96.50%    59.88MB 23.16%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    1.58MB  0.61% 97.11%     1.58MB  0.61%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
       1MB  0.39% 97.50%   170.10MB 65.78%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    0.50MB  0.19% 97.69%     5.56MB  2.15%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
         0     0% 97.69%     4.81MB  1.86%  bytes.(*Buffer).ReadFrom
         0     0% 97.69%     1.54MB  0.59%  bytes.(*Buffer).WriteString
         0     0% 97.69%     1.54MB  0.59%  bytes.(*Buffer).grow
         0     0% 97.69%     1.51MB  0.58%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 97.69%     3.01MB  1.17%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 97.69%    10.44MB  4.04%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 97.69%     4.92MB  1.90%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 97.69%     2.01MB  0.78%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 97.69%     3.01MB  1.17%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 97.69%     2.01MB  0.78%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 97.69%     1.51MB  0.58%  github.com/openshift/origin/pkg/security/legacyclient.init
         0     0% 97.69%        2MB  0.77%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.Unmarshal
         0     0% 97.69%        2MB  0.77%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.UnmarshalMerge
         0     0% 97.69%    45.43MB 17.57%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 97.69%   169.10MB 65.39%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 97.69%   229.98MB 88.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 97.69%   169.10MB 65.39%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 97.69%   184.55MB 71.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 97.69%     3.27MB  1.27%  github.com/openshift/origin/vendor/github.com/google/cadvisor/http.init
         0     0% 97.69%   230.48MB 89.13%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
