38.11s of 45.46s total (83.83%)
Dropped 1074 nodes (cum <= 0.23s)
      flat  flat%   sum%        cum   cum%
     8.99s 19.78% 19.78%      9.17s 20.17%  syscall.Syscall
     5.08s 11.17% 30.95%      9.44s 20.77%  runtime.scanobject
     3.35s  7.37% 38.32%      3.36s  7.39%  syscall.Syscall6
     2.83s  6.23% 44.54%      2.84s  6.25%  runtime.greyobject
     2.26s  4.97% 49.52%      2.26s  4.97%  math/big.addMulVVW
     1.68s  3.70% 53.21%      1.68s  3.70%  runtime.memclrNoHeapPointers
     1.55s  3.41% 56.62%      1.55s  3.41%  runtime.heapBitsForObject
     1.35s  2.97% 59.59%      2.59s  5.70%  strings.FieldsFunc
     1.17s  2.57% 62.16%      1.17s  2.57%  runtime.futex
     1.13s  2.49% 64.65%      1.13s  2.49%  runtime.memmove
     1.12s  2.46% 67.11%      4.38s  9.63%  runtime.mallocgc
     0.87s  1.91% 69.03%      0.89s  1.96%  runtime.heapBitsSetType
     0.72s  1.58% 70.61%      3.31s  7.28%  math/big.nat.montgomery
     0.60s  1.32% 71.93%      2.12s  4.66%  runtime.mapassign
     0.40s  0.88% 72.81%      0.40s  0.88%  runtime.aeshashbody
     0.36s  0.79% 73.60%      0.36s  0.79%  syscall.RawSyscall6
     0.28s  0.62% 74.22%      0.54s  1.19%  runtime.evacuate
     0.27s  0.59% 74.81%      0.83s  1.83%  math/big.nat.divLarge
     0.25s  0.55% 75.36%      0.25s  0.55%  strconv.ParseUint
     0.22s  0.48% 75.85%      0.23s  0.51%  runtime.lock
     0.20s  0.44% 76.29%      0.36s  0.79%  runtime.mapaccess2
     0.20s  0.44% 76.73%      0.43s  0.95%  runtime.pcvalue
     0.19s  0.42% 77.14%      0.26s  0.57%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.18s   0.4% 77.54%      9.66s 21.25%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.18s   0.4% 77.94%      0.76s  1.67%  runtime.gentraceback
     0.17s  0.37% 78.31%      4.46s  9.81%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.13s  0.29% 78.60%      0.29s  0.64%  runtime.makemap
     0.12s  0.26% 78.86%      0.28s  0.62%  bytes.(*Buffer).WriteString
     0.12s  0.26% 79.12%      0.50s  1.10%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.11s  0.24% 79.37%      0.35s  0.77%  encoding/json.(*Decoder).readValue
     0.11s  0.24% 79.61%      0.23s  0.51%  runtime.runqgrab
     0.11s  0.24% 79.85%      0.63s  1.39%  runtime.selectgoImpl
     0.10s  0.22% 80.07%      9.60s 21.12%  runtime.gcDrain
     0.10s  0.22% 80.29%      0.79s  1.74%  runtime.slicebytetostring
     0.10s  0.22% 80.51%     12.68s 27.89%  runtime.systemstack
     0.08s  0.18% 80.69%      0.79s  1.74%  encoding/json.(*decodeState).object
     0.08s  0.18% 80.86%      1.13s  2.49%  runtime.findrunnable
     0.08s  0.18% 81.04%      1.01s  2.22%  runtime.newobject
     0.08s  0.18% 81.21%      0.34s  0.75%  runtime.typedmemmove
     0.07s  0.15% 81.37%      1.52s  3.34%  runtime.makeslice
     0.07s  0.15% 81.52%      0.26s  0.57%  runtime.memhash128
     0.07s  0.15% 81.68%      0.27s  0.59%  runtime.sweepone
     0.06s  0.13% 81.81%      2.16s  4.75%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
     0.06s  0.13% 81.94%      0.80s  1.76%  runtime.(*mcentral).cacheSpan
     0.06s  0.13% 82.07%      0.60s  1.32%  runtime.rawstring
     0.05s  0.11% 82.18%      7.57s 16.65%  bufio.(*Scanner).Scan
     0.05s  0.11% 82.29%      0.97s  2.13%  math/big.(*Int).GCD
     0.04s 0.088% 82.38%      0.56s  1.23%  math/big.(*Int).QuoRem
     0.04s 0.088% 82.47%      0.64s  1.41%  runtime.rawstringtmp
     0.04s 0.088% 82.56%      0.27s  0.59%  runtime.runqsteal
     0.04s 0.088% 82.64%      1.40s  3.08%  runtime.schedule
     0.03s 0.066% 82.71%      0.88s  1.94%  math/big.nat.div
     0.03s 0.066% 82.78%      3.39s  7.46%  math/big.nat.expNNMontgomery
     0.03s 0.066% 82.84%      1.51s  3.32%  runtime.mcall
     0.02s 0.044% 82.89%      2.52s  5.54%  github.com/openshift/origin/vendor/github.com/google/cadvisor/fs.getDiskStatsMap
     0.02s 0.044% 82.93%      0.33s  0.73%  net.(*netFD).Read
     0.02s 0.044% 82.97%      6.76s 14.87%  net/http.(*conn).serve
     0.02s 0.044% 83.02%      0.66s  1.45%  runtime.newarray
     0.02s 0.044% 83.06%      0.40s  0.88%  runtime.newstack
     0.02s 0.044% 83.11%      0.60s  1.32%  runtime.notesleep
     0.02s 0.044% 83.15%      0.69s  1.52%  runtime.stopm
     0.02s 0.044% 83.19%      0.35s  0.77%  syscall.openat
     0.01s 0.022% 83.22%      5.34s 11.75%  crypto/tls.(*Conn).Handshake
     0.01s 0.022% 83.24%      5.24s 11.53%  crypto/tls.(*serverHandshakeState).doFullHandshake
     0.01s 0.022% 83.26%      0.25s  0.55%  encoding/json.(*decodeState).literal
     0.01s 0.022% 83.28%      0.81s  1.78%  encoding/json.(*decodeState).value
     0.01s 0.022% 83.30%      0.61s  1.34%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
     0.01s 0.022% 83.33%      0.59s  1.30%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
     0.01s 0.022% 83.35%      0.31s  0.68%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.(*Framer).WriteFrame
     0.01s 0.022% 83.37%      0.38s  0.84%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.deviceIdentifierMap.Find
     0.01s 0.022% 83.39%     15.33s 33.72%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
     0.01s 0.022% 83.41%      0.30s  0.66%  github.com/openshift/origin/vendor/google.golang.org/grpc.Invoke
     0.01s 0.022% 83.44%      1.63s  3.59%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.JitterUntil.func1
     0.01s 0.022% 83.46%      0.24s  0.53%  io.ReadAtLeast
     0.01s 0.022% 83.48%      3.86s  8.49%  math/big.nat.expNN
     0.01s 0.022% 83.50%      0.34s  0.75%  net.(*conn).Read
     0.01s 0.022% 83.52%      0.34s  0.75%  net.(*netFD).Write
     0.01s 0.022% 83.55%      0.45s  0.99%  os/exec.(*Cmd).Start
     0.01s 0.022% 83.57%      0.32s   0.7%  runtime.bgsweep
     0.01s 0.022% 83.59%      0.43s  0.95%  runtime.callers.func1
     0.01s 0.022% 83.61%      0.62s  1.36%  runtime.futexsleep
     0.01s 0.022% 83.63%      0.57s  1.25%  runtime.futexwakeup
     0.01s 0.022% 83.66%      9.62s 21.16%  runtime.gcBgMarkWorker
     0.01s 0.022% 83.68%     43.19s 95.01%  runtime.goexit
     0.01s 0.022% 83.70%      0.31s  0.68%  runtime.gosweepone
     0.01s 0.022% 83.72%      0.55s  1.21%  runtime.growWork
     0.01s 0.022% 83.74%      1.01s  2.22%  runtime.growslice
     0.01s 0.022% 83.77%      0.67s  1.47%  runtime.mallocgc.func1
     0.01s 0.022% 83.79%      0.23s  0.51%  runtime.resetspinning
     0.01s 0.022% 83.81%      0.49s  1.08%  runtime.startm
     0.01s 0.022% 83.83%      7.86s 17.29%  syscall.read
         0     0% 83.83%      0.29s  0.64%  bytes.(*Buffer).ReadFrom
         0     0% 83.83%      4.60s 10.12%  crypto/rsa.(*PrivateKey).Sign
         0     0% 83.83%      4.60s 10.12%  crypto/rsa.SignPKCS1v15
         0     0% 83.83%      0.26s  0.57%  crypto/rsa.VerifyPKCS1v15
         0     0% 83.83%      4.49s  9.88%  crypto/rsa.decrypt
         0     0% 83.83%      4.60s 10.12%  crypto/rsa.decryptAndCheck
         0     0% 83.83%      0.37s  0.81%  crypto/rsa.encrypt
         0     0% 83.83%      0.97s  2.13%  crypto/rsa.modInverse
         0     0% 83.83%      5.33s 11.72%  crypto/tls.(*Conn).serverHandshake
         0     0% 83.83%      4.67s 10.27%  crypto/tls.(*ecdheKeyAgreement).generateServerKeyExchange
         0     0% 83.83%      0.27s  0.59%  encoding/binary.Write
         0     0% 83.83%      1.18s  2.60%  encoding/json.(*Decoder).Decode
         0     0% 83.83%      0.46s  1.01%  encoding/json.(*decodeState).array
         0     0% 83.83%      0.83s  1.83%  encoding/json.(*decodeState).unmarshal
         0     0% 83.83%      0.62s  1.36%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).InspectContainer
         0     0% 83.83%      0.61s  1.34%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerInspect
         0     0% 83.83%      0.23s  0.51%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).Serve
         0     0% 83.83%      0.31s  0.68%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).Serve.func2
         0     0% 83.83%      0.30s  0.66%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).frameHandler
         0     0% 83.83%      0.28s  0.62%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).handleStreamFrame
         0     0% 83.83%      0.27s  0.59%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).sendReply
         0     0% 83.83%      0.27s  0.59%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Stream).SendReply
