34.02s of 41.47s total (82.04%)
Dropped 1064 nodes (cum <= 0.21s)
      flat  flat%   sum%        cum   cum%
     8.24s 19.87% 19.87%      8.45s 20.38%  syscall.Syscall
     3.92s  9.45% 29.32%      7.47s 18.01%  runtime.scanobject
     3.38s  8.15% 37.47%      3.38s  8.15%  math/big.addMulVVW
     2.33s  5.62% 43.09%      2.33s  5.62%  runtime.greyobject
     1.92s  4.63% 47.72%      1.97s  4.75%  syscall.Syscall6
     1.46s  3.52% 51.24%      1.46s  3.52%  runtime.memclrNoHeapPointers
     1.27s  3.06% 54.30%      1.27s  3.06%  runtime.heapBitsForObject
     1.18s  2.85% 57.15%      1.18s  2.85%  runtime.memmove
     1.09s  2.63% 59.78%      1.09s  2.63%  runtime.futex
     0.99s  2.39% 62.17%      1.89s  4.56%  strings.FieldsFunc
     0.94s  2.27% 64.43%      4.79s 11.55%  math/big.nat.montgomery
     0.93s  2.24% 66.67%      3.39s  8.17%  runtime.mallocgc
     0.51s  1.23% 67.90%      0.52s  1.25%  runtime.heapBitsSetType
     0.40s  0.96% 68.87%      1.54s  3.71%  runtime.mapassign
     0.34s  0.82% 69.69%      0.34s  0.82%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.splitBlkioStatLine
     0.31s  0.75% 70.44%      1.06s  2.56%  math/big.nat.divLarge
     0.29s   0.7% 71.14%      0.29s   0.7%  math/big.mulAddVWW
     0.27s  0.65% 71.79%      0.94s  2.27%  runtime.gentraceback
     0.26s  0.63% 72.41%      0.26s  0.63%  runtime.aeshashbody
     0.26s  0.63% 73.04%      0.26s  0.63%  runtime.duffcopy
     0.23s  0.55% 73.60%      0.23s  0.55%  strconv.ParseUint
     0.22s  0.53% 74.13%      7.79s 18.78%  runtime.gcDrain
     0.20s  0.48% 74.61%      0.23s  0.55%  runtime.mapiternext
     0.20s  0.48% 75.09%      0.81s  1.95%  runtime.selectgoImpl
     0.18s  0.43% 75.52%      0.35s  0.84%  runtime.evacuate
     0.17s  0.41% 75.93%      0.30s  0.72%  runtime.mapaccess2
     0.14s  0.34% 76.27%      0.23s  0.55%  runtime.runqgrab
     0.12s  0.29% 76.56%      0.45s  1.09%  encoding/json.(*Decoder).readValue
     0.12s  0.29% 76.85%      1.41s  3.40%  encoding/json.(*decodeState).object
     0.11s  0.27% 77.12%      1.07s  2.58%  runtime.findrunnable
     0.10s  0.24% 77.36%      0.28s  0.68%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.10s  0.24% 77.60%      1.03s  2.48%  runtime.newobject
     0.10s  0.24% 77.84%      0.21s  0.51%  runtime.sweepone
     0.10s  0.24% 78.08%      0.27s  0.65%  runtime.typedmemmove
     0.09s  0.22% 78.30%      0.27s  0.65%  encoding/json.(*decodeState).scanWhile
     0.09s  0.22% 78.51%      0.66s  1.59%  runtime.(*mcentral).cacheSpan
     0.09s  0.22% 78.73%      0.29s   0.7%  runtime.adjustframe
     0.08s  0.19% 78.92%      8.07s 19.46%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.08s  0.19% 79.12%      0.37s  0.89%  runtime.pcvalue
     0.07s  0.17% 79.29%      1.60s  3.86%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
     0.07s  0.17% 79.46%      1.13s  2.72%  runtime.makeslice
     0.06s  0.14% 79.60%      0.46s  1.11%  runtime.rawstring
     0.05s  0.12% 79.72%      2.36s  5.69%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.05s  0.12% 79.84%      0.55s  1.33%  runtime.growslice
     0.05s  0.12% 79.96%      0.58s  1.40%  runtime.slicebytetostring
     0.05s  0.12% 80.08%     10.70s 25.80%  runtime.systemstack
     0.04s 0.096% 80.18%      1.43s  3.45%  encoding/json.(*decodeState).value
     0.04s 0.096% 80.27%      1.09s  2.63%  math/big.(*Int).GCD
     0.04s 0.096% 80.37%      4.85s 11.70%  math/big.nat.expNNMontgomery
     0.04s 0.096% 80.47%      0.35s  0.84%  math/big.nat.mul
     0.04s 0.096% 80.56%      1.37s  3.30%  runtime.schedule
     0.03s 0.072% 80.64%      0.22s  0.53%  runtime.chansend
     0.03s 0.072% 80.71%      1.44s  3.47%  runtime.mcall
     0.02s 0.048% 80.76%      0.26s  0.63%  crypto/tls.(*Conn).Read
     0.02s 0.048% 80.81%      0.28s  0.68%  crypto/tls.(*Conn).readRecord
     0.02s 0.048% 80.85%      0.23s  0.55%  encoding/json.(*Decoder).refill
     0.02s 0.048% 80.90%      0.30s  0.72%  encoding/json.(*decodeState).literalStore
     0.02s 0.048% 80.95%      0.24s  0.58%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.GetChainLines
     0.02s 0.048% 81.00%      1.09s  2.63%  math/big.nat.div
     0.02s 0.048% 81.05%      6.83s 16.47%  os.(*File).Read
     0.02s 0.048% 81.09%      0.82s  1.98%  os.(*File).readdir
     0.02s 0.048% 81.14%      0.25s   0.6%  runtime.funcspdelta
     0.01s 0.024% 81.17%      0.39s  0.94%  bufio.(*Reader).Read
     0.01s 0.024% 81.19%      6.77s 16.33%  bufio.(*Scanner).Scan
     0.01s 0.024% 81.22%      0.26s  0.63%  bufio.(*Writer).Flush
     0.01s 0.024% 81.24%      0.24s  0.58%  encoding/binary.Read
     0.01s 0.024% 81.26%      0.80s  1.93%  encoding/json.(*decodeState).array
     0.01s 0.024% 81.29%      0.21s  0.51%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).get
     0.01s 0.024% 81.31%      0.24s  0.58%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
     0.01s 0.024% 81.34%      0.39s  0.94%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).Serve
     0.01s 0.024% 81.36%      0.56s  1.35%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*idleAwareFramer).WriteFrame
     0.01s 0.024% 81.38%      1.61s  3.88%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
     0.01s 0.024% 81.41%      1.71s  4.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/fs.getDiskStatsMap
     0.01s 0.024% 81.43%      0.47s  1.13%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*MemoryGroup).GetStats
     0.01s 0.024% 81.46%      0.23s  0.55%  github.com/openshift/origin/vendor/google.golang.org/grpc.recvResponse
     0.01s 0.024% 81.48%      0.31s  0.75%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/util/wait.poller.func1.1
