21150.21kB of 21150.21kB total (  100%)
Dropped 925 nodes (cum <= 105.75kB)
      flat  flat%   sum%        cum   cum%
 5180.23kB 24.49% 24.49%  5180.23kB 24.49%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 3585.78kB 16.95% 41.45%  5789.19kB 27.37%  runtime.mapassign
 2835.77kB 13.41% 54.85%  2835.77kB 13.41%  bytes.makeSlice
 2203.40kB 10.42% 65.27%  2203.40kB 10.42%  runtime.hashGrow
 1619.94kB  7.66% 72.93%  1619.94kB  7.66%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
 1026.22kB  4.85% 77.78%  1026.22kB  4.85%  runtime.rawstringtmp
 1024.88kB  4.85% 82.63%  1536.98kB  7.27%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
  591.75kB  2.80% 85.43%   591.75kB  2.80%  crypto/elliptic.initTable
  517.33kB  2.45% 87.87%   517.33kB  2.45%  regexp/syntax.(*compiler).quest
  514.63kB  2.43% 90.31%   514.63kB  2.43%  math/rand.NewSource
     514kB  2.43% 92.74%  5694.23kB 26.92%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
  512.23kB  2.42% 95.16%   512.23kB  2.42%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/informers/informers_generated/internalversion/core/internalversion.newServiceInformer
  512.02kB  2.42% 97.58%   512.02kB  2.42%  runtime.makemap
  512.02kB  2.42%   100%   512.02kB  2.42%  reflect.unsafe_NewArray
         0     0%   100%  2835.77kB 13.41%  bytes.(*Buffer).ReadFrom
         0     0%   100%   591.75kB  2.80%  crypto/elliptic.(*p256Point).p256BaseMult
         0     0%   100%   591.75kB  2.80%  crypto/elliptic.GenerateKey
         0     0%   100%   591.75kB  2.80%  crypto/elliptic.p256Curve.ScalarBaseMult
         0     0%   100%  1103.77kB  5.22%  crypto/tls.(*Conn).Handshake
         0     0%   100%  1103.77kB  5.22%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%  1103.77kB  5.22%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%   591.75kB  2.80%  crypto/tls.(*ecdheKeyAgreement).generateClientKeyExchange
         0     0%   100%   512.02kB  2.42%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%   512.02kB  2.42%  crypto/x509.(*Certificate).Verify
         0     0%   100%   512.02kB  2.42%  crypto/x509.ParseCertificate
         0     0%   100%   512.02kB  2.42%  crypto/x509.initSystemRoots
         0     0%   100%   512.02kB  2.42%  crypto/x509.loadSystemRoots
         0     0%   100%   512.02kB  2.42%  crypto/x509.parseCertificate
         0     0%   100%   512.02kB  2.42%  crypto/x509.systemRootsPool
         0     0%   100%   512.02kB  2.42%  encoding/asn1.Unmarshal
         0     0%   100%   512.02kB  2.42%  encoding/asn1.UnmarshalWithParams
         0     0%   100%   512.02kB  2.42%  encoding/asn1.parseField
         0     0%   100%   512.02kB  2.42%  encoding/asn1.parseSequenceOf
         0     0%   100%   512.28kB  2.42%  encoding/json.(*decodeState).object
         0     0%   100%   512.28kB  2.42%  encoding/json.(*decodeState).unmarshal
         0     0%   100%   512.28kB  2.42%  encoding/json.(*decodeState).value
         0     0%   100%   512.28kB  2.42%  encoding/json.Unmarshal
         0     0%   100%  1030.16kB  4.87%  github.com/openshift/origin/pkg/api/install.init
         0     0%   100%  1548.82kB  7.32%  github.com/openshift/origin/pkg/client/testclient.init
         0     0%   100%  3085.57kB 14.59%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%   512.28kB  2.42%  github.com/openshift/origin/pkg/cmd/infra/router.init
         0     0%   100%   512.20kB  2.42%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0%   100%   512.20kB  2.42%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0%   100% 10689.57kB 50.54%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0%   100%  1030.16kB  4.87%  github.com/openshift/origin/pkg/cmd/server/api/install.init
         0     0%   100%  1030.16kB  4.87%  github.com/openshift/origin/pkg/cmd/server/api/v1.init
         0     0%   100%  1030.16kB  4.87%  github.com/openshift/origin/pkg/cmd/server/bootstrappolicy.init
         0     0%   100%   512.23kB  2.42%  github.com/openshift/origin/pkg/cmd/server/kubernetes/node.BuildKubernetesNodeConfig
         0     0%   100%   512.56kB  2.42%  github.com/openshift/origin/pkg/cmd/server/origin.init
         0     0%   100%   512.23kB  2.42%  github.com/openshift/origin/pkg/cmd/server/start.(*NodeOptions).Run
         0     0%   100%   512.23kB  2.42%  github.com/openshift/origin/pkg/cmd/server/start.NewCommandStartNode.func1
         0     0%   100%   512.23kB  2.42%  github.com/openshift/origin/pkg/cmd/server/start.NodeOptions.RunNode
