119.77MB of 125.36MB total (95.54%)
Dropped 1525 nodes (cum <= 0.63MB)
      flat  flat%   sum%        cum   cum%
   57.51MB 45.88% 45.88%    59.66MB 47.59%  runtime.mapassign
      23MB 18.35% 64.23%       23MB 18.35%  runtime.rawstringtmp
   13.20MB 10.53% 74.76%    13.20MB 10.53%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
      11MB  8.78% 83.53%       11MB  8.78%  runtime.makemap
    5.06MB  4.04% 87.57%     5.06MB  4.04%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    4.87MB  3.89% 91.46%     4.87MB  3.89%  bytes.makeSlice
    2.15MB  1.72% 93.17%     2.15MB  1.72%  runtime.hashGrow
    1.58MB  1.26% 94.44%     1.58MB  1.26%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.88MB   0.7% 95.14%     0.88MB   0.7%  compress/flate.NewWriter
    0.50MB   0.4% 95.54%     5.56MB  4.44%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
         0     0% 95.54%     3.93MB  3.13%  bytes.(*Buffer).ReadFrom
         0     0% 95.54%     0.95MB  0.76%  bytes.(*Buffer).WriteString
         0     0% 95.54%     0.95MB  0.76%  bytes.(*Buffer).grow
         0     0% 95.54%     0.88MB   0.7%  compress/flate.NewWriterDict
         0     0% 95.54%     0.88MB   0.7%  compress/zlib.(*Writer).Write
         0     0% 95.54%     0.88MB   0.7%  compress/zlib.(*Writer).writeHeader
         0     0% 95.54%     1.08MB  0.86%  crypto/tls.(*Conn).Handshake
         0     0% 95.54%     1.08MB  0.86%  crypto/tls.(*Conn).clientHandshake
         0     0% 95.54%     1.08MB  0.86%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0% 95.54%     0.88MB   0.7%  encoding/binary.Write
         0     0% 95.54%     1.01MB   0.8%  github.com/openshift/origin/pkg/api/install.init
         0     0% 95.54%     1.51MB  1.21%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 95.54%     3.01MB  2.40%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 95.54%    10.44MB  8.33%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 95.54%     1.01MB   0.8%  github.com/openshift/origin/pkg/cmd/server/api/install.init
         0     0% 95.54%     1.01MB   0.8%  github.com/openshift/origin/pkg/cmd/server/api/v1.init
         0     0% 95.54%     1.01MB   0.8%  github.com/openshift/origin/pkg/cmd/server/bootstrappolicy.init
         0     0% 95.54%     4.92MB  3.93%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 95.54%     2.01MB  1.61%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 95.54%     3.01MB  2.40%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 95.54%     2.01MB  1.61%  github.com/openshift/origin/pkg/oc/cli/describe.init
