41536.11kB of 41536.11kB total (  100%)
Dropped 1157 nodes (cum <= 207.68kB)
      flat  flat%   sum%        cum   cum%
13315.75kB 32.06% 32.06% 15519.15kB 37.36%  runtime.mapassign
 5180.23kB 12.47% 44.53%  5180.23kB 12.47%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 5122.30kB 12.33% 56.86%  5122.30kB 12.33%  runtime.rawstringtmp
 2835.77kB  6.83% 63.69%  2835.77kB  6.83%  bytes.makeSlice
 2203.40kB  5.30% 68.99%  2203.40kB  5.30%  runtime.hashGrow
 1619.94kB  3.90% 72.89%  1619.94kB  3.90%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
 1554.33kB  3.74% 76.64%  1554.33kB  3.74%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
 1537.31kB  3.70% 80.34% 14357.68kB 34.57%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
 1536.07kB  3.70% 84.04%  1536.07kB  3.70%  runtime.makemap
  902.59kB  2.17% 86.21%   902.59kB  2.17%  compress/flate.NewWriter
  591.75kB  1.42% 87.63%   591.75kB  1.42%  crypto/elliptic.initTable
  518.02kB  1.25% 88.88%   518.02kB  1.25%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
  517.33kB  1.25% 90.13%   517.33kB  1.25%  regexp/syntax.(*compiler).quest
  514.63kB  1.24% 91.36%   514.63kB  1.24%  math/rand.NewSource
     514kB  1.24% 92.60%  5694.23kB 13.71%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
  512.23kB  1.23% 93.84%   512.23kB  1.23%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/informers/informers_generated/internalversion/core/internalversion.newServiceInformer
  512.20kB  1.23% 95.07%   512.20kB  1.23%  runtime.malg
  512.14kB  1.23% 96.30%   512.14kB  1.23%  reflect.unsafe_New
  512.06kB  1.23% 97.53%   512.06kB  1.23%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setCpuStats
  512.02kB  1.23% 98.77%   512.02kB  1.23%  os.newProcess
  512.02kB  1.23%   100%   512.02kB  1.23%  reflect.unsafe_NewArray
         0     0%   100%  2835.77kB  6.83%  bytes.(*Buffer).ReadFrom
         0     0%   100%   902.59kB  2.17%  compress/flate.NewWriterDict
         0     0%   100%   902.59kB  2.17%  compress/zlib.(*Writer).Write
         0     0%   100%   902.59kB  2.17%  compress/zlib.(*Writer).writeHeader
         0     0%   100%   591.75kB  1.42%  crypto/elliptic.(*p256Point).p256BaseMult
         0     0%   100%   591.75kB  1.42%  crypto/elliptic.GenerateKey
         0     0%   100%   591.75kB  1.42%  crypto/elliptic.p256Curve.ScalarBaseMult
         0     0%   100%  1103.77kB  2.66%  crypto/tls.(*Conn).Handshake
         0     0%   100%  1103.77kB  2.66%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%  1103.77kB  2.66%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%   591.75kB  1.42%  crypto/tls.(*ecdheKeyAgreement).generateClientKeyExchange
         0     0%   100%   512.02kB  1.23%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%   512.02kB  1.23%  crypto/x509.(*Certificate).Verify
         0     0%   100%   512.02kB  1.23%  crypto/x509.ParseCertificate
         0     0%   100%   512.02kB  1.23%  crypto/x509.initSystemRoots
         0     0%   100%   512.02kB  1.23%  crypto/x509.loadSystemRoots
         0     0%   100%   512.02kB  1.23%  crypto/x509.parseCertificate
         0     0%   100%   512.02kB  1.23%  crypto/x509.systemRootsPool
         0     0%   100%   512.02kB  1.23%  encoding/asn1.Unmarshal
         0     0%   100%   512.02kB  1.23%  encoding/asn1.UnmarshalWithParams
         0     0%   100%   512.02kB  1.23%  encoding/asn1.parseField
         0     0%   100%   512.02kB  1.23%  encoding/asn1.parseSequenceOf
         0     0%   100%   902.59kB  2.17%  encoding/binary.Write
         0     0%   100%   512.28kB  1.23%  encoding/json.(*decodeState).object
         0     0%   100%   512.28kB  1.23%  encoding/json.(*decodeState).unmarshal
         0     0%   100%   512.28kB  1.23%  encoding/json.(*decodeState).value
         0     0%   100%   512.28kB  1.23%  encoding/json.Unmarshal
         0     0%   100%  1030.16kB  2.48%  github.com/openshift/origin/pkg/api/install.init
         0     0%   100%  1548.82kB  3.73%  github.com/openshift/origin/pkg/client/testclient.init
         0     0%   100%  3085.57kB  7.43%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%   512.28kB  1.23%  github.com/openshift/origin/pkg/cmd/infra/router.init
         0     0%   100%   512.20kB  1.23%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0%   100%   512.20kB  1.23%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0%   100% 10689.57kB 25.74%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0%   100%  1030.16kB  2.48%  github.com/openshift/origin/pkg/cmd/server/api/install.init
         0     0%   100%  1030.16kB  2.48%  github.com/openshift/origin/pkg/cmd/server/api/v1.init
         0     0%   100%  1030.16kB  2.48%  github.com/openshift/origin/pkg/cmd/server/bootstrappolicy.init
         0     0%   100%   512.23kB  1.23%  github.com/openshift/origin/pkg/cmd/server/kubernetes/node.BuildKubernetesNodeConfig
         0     0%   100%   512.56kB  1.23%  github.com/openshift/origin/pkg/cmd/server/origin.init
         0     0%   100%   512.23kB  1.23%  github.com/openshift/origin/pkg/cmd/server/start.(*NodeOptions).Run
         0     0%   100%   512.23kB  1.23%  github.com/openshift/origin/pkg/cmd/server/start.NewCommandStartNode.func1
         0     0%   100%   512.23kB  1.23%  github.com/openshift/origin/pkg/cmd/server/start.NodeOptions.RunNode
         0     0%   100%   512.23kB  1.23%  github.com/openshift/origin/pkg/cmd/server/start.NodeOptions.StartNode
         0     0%   100%   512.23kB  1.23%  github.com/openshift/origin/pkg/cmd/server/start.StartNode
         0     0%   100%  5040.97kB 12.14%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0%   100%  2061.25kB  4.96%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0%   100%   512.23kB  1.23%  github.com/openshift/origin/pkg/dns.NewCachedServiceAccessor
         0     0%   100%   512.44kB  1.23%  github.com/openshift/origin/pkg/image/apis/image/install.Install
         0     0%   100%   512.44kB  1.23%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.Install
         0     0%   100%   512.44kB  1.23%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.init
         0     0%   100%   512.44kB  1.23%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.init.1
         0     0%   100%   512.44kB  1.23%  github.com/openshift/origin/pkg/image/generated/internalclientset/typed/image/internalversion.init
         0     0%   100%      514kB  1.24%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0%   100%      514kB  1.24%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0%   100%      514kB  1.24%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchEgressNetworkPolicies)-fm
         0     0%   100%      514kB  1.24%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchEgressNetworkPolicies
         0     0%   100%   512.20kB  1.23%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0%   100%      514kB  1.24%  github.com/openshift/origin/pkg/oc/cli.init
         0     0%   100%   512.20kB  1.23%  github.com/openshift/origin/pkg/oc/cli/cmd.NewCmdExtract
         0     0%   100%  3085.57kB  7.43%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0%   100%      514kB  1.24%  github.com/openshift/origin/pkg/oc/cli/cmd/observe.init
         0     0%   100%  2061.25kB  4.96%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0%   100%   512.28kB  1.23%  github.com/openshift/origin/pkg/route/generated/internalclientset.init
         0     0%   100%   512.28kB  1.23%  github.com/openshift/origin/pkg/route/generated/internalclientset/scheme.init
         0     0%   100%   512.28kB  1.23%  github.com/openshift/origin/pkg/route/generated/internalclientset/scheme.init.1
         0     0%   100%   512.28kB  1.23%  github.com/openshift/origin/pkg/route/generated/internalclientset/typed/route/internalversion.init
         0     0%   100%  1548.82kB  3.73%  github.com/openshift/origin/pkg/security/legacyclient.init
         0     0%   100%   514.63kB  1.24%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/client.init
         0     0%   100%   514.63kB  1.24%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/ec2metadata.init
         0     0%   100%   518.02kB  1.25%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).Insert
         0     0%   100%   518.02kB  1.25%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).flush
         0     0%   100%   518.02kB  1.25%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).insert
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).Serve.func2
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).frameHandler
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).handleStreamFrame
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).sendReply
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Stream).SendReply
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*idleAwareFramer).WriteFrame
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.(*Framer).WriteFrame
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.(*Framer).writeSynReplyFrame
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.(*SynReplyFrame).write
         0     0%   100%   902.59kB  2.17%  github.com/openshift/origin/vendor/github.com/docker/spdystream/spdy.writeHeaderValueBlock
         0     0%   100%   512.28kB  1.23%  github.com/openshift/origin/vendor/github.com/go-openapi/loads.init
         0     0%   100%   512.28kB  1.23%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.(*Schema).UnmarshalJSON
         0     0%   100%   512.28kB  1.23%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.MustLoadSwagger20Schema
         0     0%   100%   512.28kB  1.23%  github.com/openshift/origin/vendor/github.com/go-openapi/spec.Swagger20Schema
         0     0%   100%   512.14kB  1.23%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.Unmarshal
         0     0%   100%   512.14kB  1.23%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.UnmarshalMerge
