270.31MB of 278.28MB total (97.14%)
Dropped 1748 nodes (cum <= 1.39MB)
      flat  flat%   sum%        cum   cum%
  139.53MB 50.14% 50.14%   142.22MB 51.11%  runtime.mapassign
      60MB 21.56% 71.70%       60MB 21.56%  runtime.rawstringtmp
      31MB 11.14% 82.84%       31MB 11.14%  runtime.makemap
   22.06MB  7.93% 90.77%    22.06MB  7.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    6.34MB  2.28% 93.05%     6.34MB  2.28%  bytes.makeSlice
    5.06MB  1.82% 94.87%     5.06MB  1.82%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.69MB  0.97% 95.83%     2.69MB  0.97%  runtime.hashGrow
    1.58MB  0.57% 96.40%     1.58MB  0.57%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    1.04MB  0.37% 96.78%    60.04MB 21.58%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
    0.50MB  0.18% 96.96%     5.56MB  2.00%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.18% 97.14%   249.13MB 89.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 97.14%     4.81MB  1.73%  bytes.(*Buffer).ReadFrom
         0     0% 97.14%     1.54MB  0.55%  bytes.(*Buffer).WriteString
         0     0% 97.14%     1.54MB  0.55%  bytes.(*Buffer).grow
         0     0% 97.14%     1.51MB  0.54%  github.com/openshift/origin/pkg/client/testclient.init
         0     0% 97.14%     3.01MB  1.08%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 97.14%    10.44MB  3.75%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 97.14%     4.92MB  1.77%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 97.14%     2.01MB  0.72%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 97.14%     3.01MB  1.08%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 97.14%     2.01MB  0.72%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 97.14%     1.51MB  0.54%  github.com/openshift/origin/pkg/security/legacyclient.init
         0     0% 97.14%     2.50MB   0.9%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.Unmarshal
         0     0% 97.14%     2.50MB   0.9%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.UnmarshalMerge
         0     0% 97.14%    37.04MB 13.31%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 97.14%   188.09MB 67.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0% 97.14%   188.59MB 67.77%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0% 97.14%   188.09MB 67.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0% 97.14%   212.09MB 76.22%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 97.14%     3.27MB  1.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/http.init
         0     0% 97.14%   249.64MB 89.71%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 97.14%   249.64MB 89.71%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 97.14%   249.64MB 89.71%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 97.14%     2.77MB     1%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.Asset
         0     0% 97.14%     2.77MB     1%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.bindataRead
         0     0% 97.14%     2.77MB     1%  github.com/openshift/origin/vendor/github.com/google/cadvisor/pages/static.init
