4.75s of 6.06s total (78.38%)
Dropped 470 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     0.90s 14.85% 14.85%      0.94s 15.51%  syscall.Syscall
     0.53s  8.75% 23.60%      0.82s 13.53%  runtime.scanobject
     0.32s  5.28% 28.88%      0.32s  5.28%  syscall.Syscall6
     0.30s  4.95% 33.83%      0.30s  4.95%  runtime.memmove
     0.25s  4.13% 37.95%      0.55s  9.08%  runtime.mallocgc
     0.19s  3.14% 41.09%      0.19s  3.14%  runtime.greyobject
     0.18s  2.97% 44.06%      0.18s  2.97%  runtime.memclrNoHeapPointers
     0.14s  2.31% 46.37%      0.14s  2.31%  runtime.aeshashbody
     0.14s  2.31% 48.68%      0.14s  2.31%  runtime.futex
     0.13s  2.15% 50.83%      0.14s  2.31%  bytes.(*Buffer).grow
     0.12s  1.98% 52.81%      0.40s  6.60%  bytes.(*Buffer).WriteString
     0.12s  1.98% 54.79%      0.31s  5.12%  runtime.mapassign
     0.11s  1.82% 56.60%      0.11s  1.82%  runtime.heapBitsForObject
     0.10s  1.65% 58.25%      0.10s  1.65%  runtime.duffcopy
     0.09s  1.49% 59.74%      0.54s  8.91%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.08s  1.32% 61.06%      0.08s  1.32%  runtime.memeqbody
     0.06s  0.99% 62.05%      0.08s  1.32%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.06s  0.99% 63.04%      0.15s  2.48%  runtime.evacuate
     0.06s  0.99% 64.03%      0.07s  1.16%  runtime.mapiternext
     0.05s  0.83% 64.85%      0.05s  0.83%  encoding/json.stateInString
     0.04s  0.66% 65.51%      0.10s  1.65%  encoding/json.(*decodeState).scanWhile
     0.04s  0.66% 66.17%      0.04s  0.66%  net.IP.String
     0.04s  0.66% 66.83%      0.14s  2.31%  runtime.pcvalue
     0.04s  0.66% 67.49%      0.04s  0.66%  runtime.readvarint
     0.04s  0.66% 68.15%      0.08s  1.32%  runtime.typedmemmove
     0.04s  0.66% 68.81%      0.04s  0.66%  runtime.unlock
     0.03s   0.5% 69.31%      0.33s  5.45%  encoding/json.(*decodeState).object
     0.03s   0.5% 69.80%      1.43s 23.60%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.03s   0.5% 70.30%      0.05s  0.83%  runtime.deferreturn
     0.03s   0.5% 70.79%      0.87s 14.36%  runtime.gcDrain
     0.03s   0.5% 71.29%      0.24s  3.96%  runtime.gentraceback
     0.03s   0.5% 71.78%      0.14s  2.31%  runtime.newobject
     0.03s   0.5% 72.28%      0.07s  1.16%  runtime.step
     0.02s  0.33% 72.61%      0.07s  1.16%  bytes.(*Buffer).WriteByte
     0.02s  0.33% 72.94%      0.05s  0.83%  fmt.newPrinter
     0.02s  0.33% 73.27%      0.09s  1.49%  runtime.concatstrings
     0.02s  0.33% 73.60%      0.27s  4.46%  runtime.makeslice
     0.02s  0.33% 73.93%      0.06s  0.99%  runtime.mapaccess2_faststr
     0.02s  0.33% 74.26%      0.10s  1.65%  runtime.memhash
     0.02s  0.33% 74.59%      0.16s  2.64%  runtime.rawstring
     0.02s  0.33% 74.92%      0.16s  2.64%  runtime.selectgoImpl
     0.02s  0.33% 75.25%      0.17s  2.81%  runtime.slicebytetostring
     0.01s  0.17% 75.41%      0.06s  0.99%  bufio.(*Scanner).Scan
     0.01s  0.17% 75.58%      0.08s  1.32%  encoding/json.(*Decoder).readValue
     0.01s  0.17% 75.74%      0.15s  2.48%  fmt.Sprintf
     0.01s  0.17% 75.91%      0.07s  1.16%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.01s  0.17% 76.07%      0.05s  0.83%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Server).Write
     0.01s  0.17% 76.24%      0.04s  0.66%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*endpointsInfo).IPPart
     0.01s  0.17% 76.40%      0.10s  1.65%  os.(*file).close
     0.01s  0.17% 76.57%      0.20s  3.30%  os.Stat
     0.01s  0.17% 76.73%      0.06s  0.99%  reflect.deepValueEqual
     0.01s  0.17% 76.90%      0.04s  0.66%  reflect.unsafe_New
     0.01s  0.17% 77.06%      0.18s  2.97%  runtime.(*mcache).nextFree
     0.01s  0.17% 77.23%      0.04s  0.66%  runtime.convT2E
     0.01s  0.17% 77.39%      0.14s  2.31%  runtime.findrunnable
     0.01s  0.17% 77.56%      0.19s  3.14%  runtime.mcall
     0.01s  0.17% 77.72%      0.16s  2.64%  runtime.schedule
     0.01s  0.17% 77.89%      0.05s  0.83%  runtime.sweepone
     0.01s  0.17% 78.05%      0.05s  0.83%  strings.FieldsFunc
     0.01s  0.17% 78.22%      0.40s  6.60%  syscall.Lstat
     0.01s  0.17% 78.38%      0.13s  2.15%  syscall.read
         0     0% 78.38%      0.08s  1.32%  bufio.(*Writer).Flush
         0     0% 78.38%      0.16s  2.64%  bytes.(*Buffer).ReadFrom
         0     0% 78.38%      0.09s  1.49%  bytes.makeSlice
         0     0% 78.38%      0.41s  6.77%  encoding/json.(*Decoder).Decode
         0     0% 78.38%      0.05s  0.83%  encoding/json.(*Decoder).refill
         0     0% 78.38%      0.30s  4.95%  encoding/json.(*decodeState).array
         0     0% 78.38%      0.10s  1.65%  encoding/json.(*decodeState).literal
         0     0% 78.38%      0.06s  0.99%  encoding/json.(*decodeState).literalStore
         0     0% 78.38%      0.33s  5.45%  encoding/json.(*decodeState).unmarshal
         0     0% 78.38%      0.33s  5.45%  encoding/json.(*decodeState).value
         0     0% 78.38%      0.38s  6.27%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0% 78.38%      0.08s  1.32%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListImages
         0     0% 78.38%      0.04s  0.66%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/ec2metadata.(*EC2Metadata).GetMetadata
         0     0% 78.38%      0.04s  0.66%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/request.(*HandlerList).Run
         0     0% 78.38%      0.04s  0.66%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/request.(*Request).Send
         0     0% 78.38%      0.37s  6.11%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
         0     0% 78.38%      0.08s  1.32%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ImageList
         0     0% 78.38%      0.07s  1.16%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).get
         0     0% 78.38%      0.04s  0.66%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).getAPIPath
         0     0% 78.38%      0.05s  0.83%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).newRequest
         0     0% 78.38%      0.07s  1.16%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
         0     0% 78.38%      0.07s  1.16%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendRequest
         0     0% 78.38%      0.05s  0.83%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do.func1
         0     0% 78.38%      0.08s  1.32%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.Unmarshal
         0     0% 78.38%      0.08s  1.32%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.UnmarshalMerge
         0     0% 78.38%      0.38s  6.27%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
         0     0% 78.38%      0.32s  5.28%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListContainers
         0     0% 78.38%      0.32s  5.28%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListDirectories
         0     0% 78.38%      0.27s  4.46%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readString
         0     0% 78.38%      0.24s  3.96%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readUInt64
         0     0% 78.38%      0.04s  0.66%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 78.38%      0.67s 11.06%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 78.38%      0.37s  6.11%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetSpec
         0     0% 78.38%      0.64s 10.56%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 78.38%      0.32s  5.28%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).ListContainers
         0     0% 78.38%      0.06s  0.99%  github.com/openshift/origin/vendor/github.com/google/cadvisor/info/v1.(*ContainerStats).StatsEq
         0     0% 78.38%      0.40s  6.60%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).GetInfo
         0     0% 78.38%      0.78s 12.87%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 78.38%      0.72s 11.88%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 78.38%      0.06s  0.99%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).nextHousekeeping
         0     0% 78.38%      0.40s  6.60%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateSpec
         0     0% 78.38%      0.72s 11.88%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 78.38%      0.41s  6.77%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).GetContainerInfoV2
         0     0% 78.38%      0.32s  5.28%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).detectSubcontainers
         0     0% 78.38%      0.32s  5.28%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).getContainersDiff
         0     0% 78.38%      0.32s  5.28%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).globalHousekeeping
         0     0% 78.38%      0.11s  1.82%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.FileExists
