3.92s of 4.77s total (82.18%)
Dropped 375 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     1.13s 23.69% 23.69%      1.20s 25.16%  syscall.Syscall
     0.45s  9.43% 33.12%      0.66s 13.84%  runtime.scanobject
     0.26s  5.45% 38.57%      0.26s  5.45%  syscall.Syscall6
     0.25s  5.24% 43.82%      0.25s  5.24%  runtime.futex
     0.23s  4.82% 48.64%      0.23s  4.82%  runtime.memclrNoHeapPointers
     0.18s  3.77% 52.41%      0.59s 12.37%  runtime.mallocgc
     0.14s  2.94% 55.35%      0.14s  2.94%  runtime.greyobject
     0.09s  1.89% 57.23%      0.09s  1.89%  runtime.heapBitsForObject
     0.08s  1.68% 58.91%      0.08s  1.68%  runtime.heapBitsSetType
     0.06s  1.26% 60.17%      0.06s  1.26%  encoding/json.stateInString
     0.05s  1.05% 61.22%      0.05s  1.05%  path/filepath.Clean
     0.05s  1.05% 62.26%      0.05s  1.05%  runtime.duffcopy
     0.05s  1.05% 63.31%      0.22s  4.61%  runtime.gentraceback
     0.05s  1.05% 64.36%      0.05s  1.05%  runtime.lock
     0.05s  1.05% 65.41%      0.05s  1.05%  runtime.readvarint
     0.05s  1.05% 66.46%      0.10s  2.10%  syscall.ByteSliceFromString
     0.04s  0.84% 67.30%      0.07s  1.47%  reflect.deepValueEqual
     0.04s  0.84% 68.13%      0.04s  0.84%  runtime.unlock
     0.03s  0.63% 68.76%      0.18s  3.77%  encoding/json.(*Decoder).readValue
     0.03s  0.63% 69.39%      0.03s  0.63%  runtime._ExternalCode
     0.03s  0.63% 70.02%      0.07s  1.47%  runtime.adjustframe
     0.03s  0.63% 70.65%      0.03s  0.63%  runtime.casgstatus
     0.03s  0.63% 71.28%      0.05s  1.05%  runtime.exitsyscall
     0.03s  0.63% 71.91%      0.09s  1.89%  runtime.pcvalue
     0.02s  0.42% 72.33%      0.03s  0.63%  encoding/json.(*decodeState).scanWhile
     0.02s  0.42% 72.75%      0.09s  1.89%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.02s  0.42% 73.17%      0.18s  3.77%  runtime.(*mcentral).cacheSpan
     0.02s  0.42% 73.58%      0.15s  3.14%  runtime.(*mheap).alloc
     0.02s  0.42% 74.00%      0.03s  0.63%  runtime.(*mspan).nextFreeIndex
     0.02s  0.42% 74.42%      0.05s  1.05%  runtime.deferreturn
     0.02s  0.42% 74.84%      0.08s  1.68%  runtime.mapassign
     0.01s  0.21% 75.05%      0.07s  1.47%  bytes.makeSlice
     0.01s  0.21% 75.26%      0.04s  0.84%  encoding/json.(*decodeState).literalStore
     0.01s  0.21% 75.47%      0.04s  0.84%  encoding/json.(*decodeState).valueInterface
