3.46s of 3.93s total (88.04%)
Dropped 271 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     1.17s 29.77% 29.77%      1.22s 31.04%  syscall.Syscall
     0.36s  9.16% 38.93%      0.37s  9.41%  syscall.Syscall6
     0.27s  6.87% 45.80%      0.42s 10.69%  runtime.scanobject
     0.22s  5.60% 51.40%      0.22s  5.60%  runtime.memclrNoHeapPointers
     0.13s  3.31% 54.71%      0.50s 12.72%  runtime.mallocgc
     0.12s  3.05% 57.76%      0.12s  3.05%  runtime.futex
     0.10s  2.54% 60.31%      0.10s  2.54%  runtime.greyobject
     0.07s  1.78% 62.09%      0.12s  3.05%  runtime.pcvalue
     0.06s  1.53% 63.61%      0.06s  1.53%  runtime._ExternalCode
     0.06s  1.53% 65.14%      0.06s  1.53%  runtime.heapBitsForObject
     0.06s  1.53% 66.67%      0.06s  1.53%  runtime.memmove
     0.05s  1.27% 67.94%      0.49s 12.47%  runtime.gcDrain
     0.05s  1.27% 69.21%      0.05s  1.27%  runtime.heapBitsSetType
     0.04s  1.02% 70.23%      0.04s  1.02%  os.basename
     0.04s  1.02% 71.25%      0.04s  1.02%  runtime.casgstatus
     0.04s  1.02% 72.26%      0.04s  1.02%  runtime.duffcopy
     0.04s  1.02% 73.28%      0.18s  4.58%  runtime.gentraceback
     0.04s  1.02% 74.30%      0.04s  1.02%  runtime.readvarint
     0.03s  0.76% 75.06%      0.03s  0.76%  path.Clean
     0.03s  0.76% 75.83%      0.03s  0.76%  runtime.lock
     0.03s  0.76% 76.59%      0.07s  1.78%  strings.FieldsFunc
     0.02s  0.51% 77.10%      0.02s  0.51%  bytes.(*Buffer).WriteByte
     0.02s  0.51% 77.61%      0.02s  0.51%  encoding/json.stateInString
     0.02s  0.51% 78.12%      0.05s  1.27%  github.com/openshift/origin/vendor/golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.02s  0.51% 78.63%      0.02s  0.51%  reflect.Value.Field
     0.02s  0.51% 79.13%      0.02s  0.51%  runtime.acquireSudog
     0.02s  0.51% 79.64%      0.02s  0.51%  runtime.gcLockStackBarriers
     0.02s  0.51% 80.15%      0.24s  6.11%  runtime.makeslice
     0.02s  0.51% 80.66%      0.06s  1.53%  runtime.mapassign
     0.02s  0.51% 81.17%      0.20s  5.09%  runtime.newobject
     0.02s  0.51% 81.68%      0.06s  1.53%  syscall.ByteSliceFromString
     0.01s  0.25% 81.93%      0.10s  2.54%  encoding/json.(*decodeState).object
     0.01s  0.25% 82.19%      0.04s  1.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/info/v1.(*ContainerStats).StatsEq
     0.01s  0.25% 82.44%      0.04s  1.02%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.wait
     0.01s  0.25% 82.70%      0.02s  0.51%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.(*FileStore).List
     0.01s  0.25% 82.95%      0.04s  1.02%  net/http.(*bodyEOFSignal).condfn
     0.01s  0.25% 83.21%      0.42s 10.69%  os.OpenFile
     0.01s  0.25% 83.46%      0.03s  0.76%  reflect.deepValueEqual
     0.01s  0.25% 83.72%      0.21s  5.34%  runtime.(*mcache).refill
     0.01s  0.25% 83.97%      0.02s  0.51%  runtime.(*mheap).allocSpanLocked
     0.01s  0.25% 84.22%      0.02s  0.51%  runtime.deferreturn
     0.01s  0.25% 84.48%      0.02s  0.51%  runtime.exitsyscallfast
     0.01s  0.25% 84.73%      0.10s  2.54%  runtime.findrunnable
     0.01s  0.25% 84.99%      0.08s  2.04%  runtime.funcspdelta
     0.01s  0.25% 85.24%      0.03s  0.76%  runtime.heapBits.initSpan
     0.01s  0.25% 85.50%      0.06s  1.53%  runtime.pcdatavalue
     0.01s  0.25% 85.75%      0.07s  1.78%  runtime.ready
     0.01s  0.25% 86.01%      0.02s  0.51%  runtime.runqgrab
     0.01s  0.25% 86.26%      0.02s  0.51%  runtime.scanblock
     0.01s  0.25% 86.51%      0.02s  0.51%  runtime.selectrecv
     0.01s  0.25% 86.77%      0.99s 25.19%  runtime.systemstack
     0.01s  0.25% 87.02%      0.04s  1.02%  runtime.typedmemmove
     0.01s  0.25% 87.28%      0.02s  0.51%  runtime.unlock
     0.01s  0.25% 87.53%      0.03s  0.76%  strings.Join
     0.01s  0.25% 87.79%      0.07s  1.78%  syscall.BytePtrFromString
     0.01s  0.25% 88.04%      0.05s  1.27%  syscall.Fstat
         0     0% 88.04%      0.02s  0.51%  bufio.(*Reader).Read
         0     0% 88.04%      0.15s  3.82%  bufio.(*Scanner).Scan
         0     0% 88.04%      0.12s  3.05%  bufio.(*Writer).Flush
         0     0% 88.04%      0.16s  4.07%  bytes.(*Buffer).ReadFrom
         0     0% 88.04%      0.07s  1.78%  bytes.makeSlice
         0     0% 88.04%      0.14s  3.56%  encoding/json.(*Decoder).Decode
         0     0% 88.04%      0.04s  1.02%  encoding/json.(*Decoder).readValue
         0     0% 88.04%      0.03s  0.76%  encoding/json.(*Decoder).refill
         0     0% 88.04%      0.05s  1.27%  encoding/json.(*decodeState).array
         0     0% 88.04%      0.02s  0.51%  encoding/json.(*decodeState).scanWhile
         0     0% 88.04%      0.10s  2.54%  encoding/json.(*decodeState).unmarshal
         0     0% 88.04%      0.10s  2.54%  encoding/json.(*decodeState).value
         0     0% 88.04%      0.04s  1.02%  encoding/json.(*encodeState).marshal
         0     0% 88.04%      0.04s  1.02%  encoding/json.(*encodeState).reflectValue
         0     0% 88.04%      0.02s  0.51%  encoding/json.(*mapEncoder).(encoding/json.encode)-fm
         0     0% 88.04%      0.02s  0.51%  encoding/json.(*mapEncoder).encode
         0     0% 88.04%      0.02s  0.51%  encoding/json.(*ptrEncoder).(encoding/json.encode)-fm
         0     0% 88.04%      0.02s  0.51%  encoding/json.(*ptrEncoder).encode
         0     0% 88.04%      0.02s  0.51%  encoding/json.(*structEncoder).(encoding/json.encode)-fm
         0     0% 88.04%      0.02s  0.51%  encoding/json.(*structEncoder).encode
         0     0% 88.04%      0.04s  1.02%  encoding/json.Marshal
         0     0% 88.04%      0.04s  1.02%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).InspectContainer
         0     0% 88.04%      0.07s  1.78%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0% 88.04%      0.03s  0.76%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListImages
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/ec2metadata.(*EC2Metadata).GetMetadata
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/ec2metadata.unmarshalHandler
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/request.(*HandlerList).Run
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/request.(*Request).Send
         0     0% 88.04%      0.06s  1.53%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerInspect
         0     0% 88.04%      0.07s  1.78%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
         0     0% 88.04%      0.03s  0.76%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ImageList
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).get
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendRequest
         0     0% 88.04%      0.03s  0.76%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.(*notifyingReader).Read
         0     0% 88.04%      0.09s  2.29%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do.func1
         0     0% 88.04%      0.03s  0.76%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.Marshal
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.Unmarshal
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.UnmarshalMerge
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container.NewContainerHandler
         0     0% 88.04%      0.40s 10.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
         0     0% 88.04%      0.28s  7.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListContainers
         0     0% 88.04%      0.28s  7.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListDirectories
         0     0% 88.04%      0.30s  7.63%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readString
         0     0% 88.04%      0.22s  5.60%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readUInt64
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 88.04%      0.71s 18.07%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 88.04%      0.03s  0.76%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.scanUdpStats
         0     0% 88.04%      0.03s  0.76%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.udpStatsFromProc
         0     0% 88.04%      0.41s 10.43%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetSpec
         0     0% 88.04%      0.70s 17.81%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 88.04%      0.28s  7.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).ListContainers
         0     0% 88.04%      0.39s  9.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).GetInfo
         0     0% 88.04%      0.77s 19.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 88.04%      0.73s 18.58%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 88.04%      0.04s  1.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).nextHousekeeping
         0     0% 88.04%      0.39s  9.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateSpec
         0     0% 88.04%      0.73s 18.58%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 88.04%      0.40s 10.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).GetContainerInfoV2
         0     0% 88.04%      0.11s  2.80%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).Start
         0     0% 88.04%      0.04s  1.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).createContainer
         0     0% 88.04%      0.04s  1.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).createContainerLocked
         0     0% 88.04%      0.30s  7.63%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).detectSubcontainers
         0     0% 88.04%      0.28s  7.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).getContainersDiff
         0     0% 88.04%      0.23s  5.85%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).globalHousekeeping
         0     0% 88.04%      0.07s  1.78%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).watchForNewContainers
         0     0% 88.04%      0.02s  0.51%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).watchForNewContainers.func1
         0     0% 88.04%      0.04s  1.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager/watcher/raw.(*rawContainerWatcher).Start
         0     0% 88.04%      0.04s  1.02%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager/watcher/raw.(*rawContainerWatcher).watchDirectory
         0     0% 88.04%      0.12s  3.05%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.FileExists
         0     0% 88.04%      0.03s  0.76%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups.PathExists
         0     0% 88.04%      0.07s  1.78%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 88.04%      0.04s  1.02%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*CpuGroup).GetStats
         0     0% 88.04%      0.07s  1.78%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*CpuacctGroup).GetStats
         0     0% 88.04%      0.67s 17.05%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 88.04%      0.46s 11.70%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*MemoryGroup).GetStats
         0     0% 88.04%      0.07s  1.78%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
         0     0% 88.04%      0.05s  1.27%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamKeyValue
         0     0% 88.04%      0.34s  8.65%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamUint
         0     0% 88.04%      0.03s  0.76%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCpuUsageBreakdown
