4.04s of 4.75s total (85.05%)
Dropped 383 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     0.93s 19.58% 19.58%      0.94s 19.79%  syscall.Syscall
     0.53s 11.16% 30.74%      0.78s 16.42%  runtime.scanobject
     0.32s  6.74% 37.47%      0.33s  6.95%  syscall.Syscall6
     0.18s  3.79% 41.26%      0.18s  3.79%  runtime.futex
     0.18s  3.79% 45.05%      0.18s  3.79%  runtime.memmove
     0.17s  3.58% 48.63%      0.17s  3.58%  runtime.greyobject
     0.16s  3.37% 52.00%      0.16s  3.37%  runtime.memclrNoHeapPointers
     0.15s  3.16% 55.16%      0.41s  8.63%  runtime.mallocgc
     0.10s  2.11% 57.26%      0.10s  2.11%  runtime.heapBitsForObject
     0.08s  1.68% 58.95%      0.08s  1.68%  encoding/json.stateInString
     0.07s  1.47% 60.42%      0.11s  2.32%  encoding/json.(*decodeState).scanWhile
     0.07s  1.47% 61.89%      0.07s  1.47%  runtime.heapBitsSetType
     0.07s  1.47% 63.37%      0.21s  4.42%  runtime.pcvalue
     0.06s  1.26% 64.63%      0.06s  1.26%  runtime.lock
     0.06s  1.26% 65.89%      0.11s  2.32%  runtime.mapassign
     0.05s  1.05% 66.95%      0.05s  1.05%  runtime.readvarint
     0.05s  1.05% 68.00%      0.10s  2.11%  runtime.step
     0.04s  0.84% 68.84%      0.31s  6.53%  encoding/json.(*decodeState).object
     0.04s  0.84% 69.68%      0.04s  0.84%  runtime.casgstatus
     0.04s  0.84% 70.53%      0.04s  0.84%  runtime.duffcopy
     0.04s  0.84% 71.37%      0.31s  6.53%  runtime.gentraceback
     0.03s  0.63% 72.00%      0.09s  1.89%  encoding/json.(*Decoder).readValue
     0.03s  0.63% 72.63%      0.08s  1.68%  runtime.(*mspan).sweep
     0.03s  0.63% 73.26%      0.03s  0.63%  runtime.findfunc
     0.03s  0.63% 73.89%      0.06s  1.26%  runtime.makemap
     0.03s  0.63% 74.53%      0.17s  3.58%  runtime.newobject
     0.03s  0.63% 75.16%      0.14s  2.95%  runtime.selectgoImpl
     0.03s  0.63% 75.79%      0.03s  0.63%  runtime.usleep
     0.02s  0.42% 76.21%      0.43s  9.05%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateSpec
     0.02s  0.42% 76.63%      0.10s  2.11%  runtime.(*mcentral).cacheSpan
     0.02s  0.42% 77.05%      0.04s  0.84%  runtime.(*mcentral).freeSpan
     0.02s  0.42% 77.47%      0.08s  1.68%  runtime.concatstrings
     0.02s  0.42% 77.89%      0.82s 17.26%  runtime.gcDrain
     0.02s  0.42% 78.32%      0.07s  1.47%  runtime.rawstring
     0.02s  0.42% 78.74%      0.11s  2.32%  runtime.sweepone
     0.02s  0.42% 79.16%      0.04s  0.84%  strings.FieldsFunc
     0.02s  0.42% 79.58%      0.03s  0.63%  syscall.ByteSliceFromString
     0.01s  0.21% 79.79%      0.03s  0.63%  bufio.(*Reader).fill
     0.01s  0.21% 80.00%      0.06s  1.26%  bufio.(*Writer).Flush
     0.01s  0.21% 80.21%      0.03s  0.63%  bytes.(*Buffer).WriteByte
     0.01s  0.21% 80.42%      0.03s  0.63%  bytes.(*Buffer).grow
     0.01s  0.21% 80.63%      0.05s  1.05%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).newRequest
     0.01s  0.21% 80.84%      0.40s  8.42%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
     0.01s  0.21% 81.05%      0.44s  9.26%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).GetInfo
     0.01s  0.21% 81.26%      0.04s  0.84%  github.com/openshift/origin/vendor/golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.01s  0.21% 81.47%      0.73s 15.37%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*Server).processUnaryRPC
     0.01s  0.21% 81.68%      0.31s  6.53%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.(*dockerService).ListPodSandbox
     0.01s  0.21% 81.89%      0.05s  1.05%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/remote.(*RemoteRuntimeService).ListContainers
     0.01s  0.21% 82.11%      0.06s  1.26%  io.ReadAtLeast
     0.01s  0.21% 82.32%      0.12s  2.53%  io/ioutil.readAll
     0.01s  0.21% 82.53%      0.09s  1.89%  net/http.(*persistConn).writeLoop
     0.01s  0.21% 82.74%      0.04s  0.84%  reflect.Value.SetMapIndex
     0.01s  0.21% 82.95%      0.12s  2.53%  runtime.(*mcache).nextFree
     0.01s  0.21% 83.16%      0.04s  0.84%  runtime.SetFinalizer
     0.01s  0.21% 83.37%      0.07s  1.47%  runtime.adjustframe
     0.01s  0.21% 83.58%      0.03s  0.63%  runtime.deferproc
     0.01s  0.21% 83.79%      0.14s  2.95%  runtime.mcall
     0.01s  0.21% 84.00%      0.12s  2.53%  runtime.scanstack
     0.01s  0.21% 84.21%      0.07s  1.47%  runtime.send
     0.01s  0.21% 84.42%      0.05s  1.05%  runtime.stopm
     0.01s  0.21% 84.63%      1.41s 29.68%  runtime.systemstack
     0.01s  0.21% 84.84%      0.04s  0.84%  strings.Join
     0.01s  0.21% 85.05%      0.04s  0.84%  syscall.BytePtrFromString
         0     0% 85.05%      0.03s  0.63%  bufio.(*Reader).Peek
         0     0% 85.05%      0.04s  0.84%  bufio.(*Reader).Read
         0     0% 85.05%      0.11s  2.32%  bufio.(*Scanner).Scan
         0     0% 85.05%      0.09s  1.89%  bytes.(*Buffer).ReadFrom
         0     0% 85.05%      0.07s  1.47%  bytes.makeSlice
         0     0% 85.05%      0.41s  8.63%  encoding/json.(*Decoder).Decode
         0     0% 85.05%      0.28s  5.89%  encoding/json.(*decodeState).array
         0     0% 85.05%      0.09s  1.89%  encoding/json.(*decodeState).literal
         0     0% 85.05%      0.03s  0.63%  encoding/json.(*decodeState).objectInterface
         0     0% 85.05%      0.33s  6.95%  encoding/json.(*decodeState).unmarshal
         0     0% 85.05%      0.33s  6.95%  encoding/json.(*decodeState).value
         0     0% 85.05%      0.03s  0.63%  encoding/json.(*decodeState).valueInterface
         0     0% 85.05%      0.42s  8.84%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0% 85.05%      0.08s  1.68%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListImages
         0     0% 85.05%      0.40s  8.42%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
         0     0% 85.05%      0.08s  1.68%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ImageList
         0     0% 85.05%      0.12s  2.53%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).get
         0     0% 85.05%      0.12s  2.53%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
         0     0% 85.05%      0.12s  2.53%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendRequest
         0     0% 85.05%      0.07s  1.47%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do
         0     0% 85.05%      0.06s  1.26%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do.func1
         0     0% 85.05%      0.06s  1.26%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.Unmarshal
         0     0% 85.05%      0.06s  1.26%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.UnmarshalMerge
         0     0% 85.05%      0.35s  7.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListContainers
         0     0% 85.05%      0.35s  7.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListDirectories
         0     0% 85.05%      0.28s  5.89%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readString
         0     0% 85.05%      0.22s  4.63%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readUInt64
         0     0% 85.05%      0.03s  0.63%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 85.05%      0.63s 13.26%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 85.05%      0.41s  8.63%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetSpec
         0     0% 85.05%      0.60s 12.63%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 85.05%      0.35s  7.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).ListContainers
         0     0% 85.05%      0.67s 14.11%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 85.05%      0.65s 13.68%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 85.05%      0.65s 13.68%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 85.05%      0.45s  9.47%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).GetContainerInfoV2
         0     0% 85.05%      0.35s  7.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).detectSubcontainers
         0     0% 85.05%      0.35s  7.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).getContainersDiff
         0     0% 85.05%      0.35s  7.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).globalHousekeeping
         0     0% 85.05%      0.15s  3.16%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.FileExists
         0     0% 85.05%      0.11s  2.32%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 85.05%      0.12s  2.53%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*CpuacctGroup).GetStats
         0     0% 85.05%      0.61s 12.84%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 85.05%      0.34s  7.16%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*MemoryGroup).GetStats
         0     0% 85.05%      0.11s  2.32%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
