18317.15kB of 18317.15kB total (  100%)
Dropped 765 nodes (cum <= 91.58kB)
      flat  flat%   sum%        cum   cum%
 4144.18kB 22.62% 22.62%  4144.18kB 22.62%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 2413.56kB 13.18% 35.80%  2413.56kB 13.18%  bytes.makeSlice
 2115.41kB 11.55% 47.35%  2115.41kB 11.55%  runtime.hashGrow
 1536.35kB  8.39% 55.74%  3651.76kB 19.94%  runtime.mapassign
 1043.17kB  5.70% 61.43%  1043.17kB  5.70%  regexp.(*bitState).reset
 1028.76kB  5.62% 67.05%  1028.76kB  5.62%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    1025kB  5.60% 72.64%     1025kB  5.60%  encoding/pem.Decode
  809.97kB  4.42% 77.07%   809.97kB  4.42%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  609.50kB  3.33% 80.39%   609.50kB  3.33%  runtime.stringtoslicebyte
  514.63kB  2.81% 83.20%   514.63kB  2.81%  regexp/syntax.(*compiler).quest
     514kB  2.81% 86.01%  4658.18kB 25.43%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
     514kB  2.81% 88.82%      514kB  2.81%  os.(*File).readdirnames
  512.44kB  2.80% 91.61%   512.44kB  2.80%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
  512.10kB  2.80% 94.41%   512.10kB  2.80%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer
  512.06kB  2.80% 97.20%   512.06kB  2.80%  github.com/openshift/origin/vendor/k8s.io/client-go/rest.NewRESTClient
  512.02kB  2.80%   100%   512.02kB  2.80%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*Scheme).AddKnownTypeWithName
         0     0%   100%  2413.56kB 13.18%  bytes.(*Buffer).ReadFrom
         0     0%   100%  1537.17kB  8.39%  crypto/tls.(*Conn).Handshake
         0     0%   100%  1537.17kB  8.39%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%  1537.17kB  8.39%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%   512.17kB  2.80%  crypto/x509.(*CertPool).AddCert
         0     0%   100%  1537.17kB  8.39%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%  1537.17kB  8.39%  crypto/x509.(*Certificate).Verify
         0     0%   100%  1537.17kB  8.39%  crypto/x509.initSystemRoots
         0     0%   100%  1537.17kB  8.39%  crypto/x509.loadSystemRoots
         0     0%   100%  1537.17kB  8.39%  crypto/x509.systemRootsPool
         0     0%   100%   513.56kB  2.80%  github.com/openshift/origin/pkg/api/install.init
         0     0%   100%   609.50kB  3.33%  github.com/openshift/origin/pkg/auth/server/errorpage.init
         0     0%   100%   574.34kB  3.14%  github.com/openshift/origin/pkg/authorization/apis/authorization/install.Install
