5.35s of 6.38s total (83.86%)
Dropped 448 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     1.09s 17.08% 17.08%      1.17s 18.34%  syscall.Syscall
     0.55s  8.62% 25.71%      0.87s 13.64%  runtime.scanobject
     0.44s  6.90% 32.60%      0.44s  6.90%  syscall.Syscall6
     0.30s  4.70% 37.30%      0.30s  4.70%  runtime.memclrNoHeapPointers
     0.30s  4.70% 42.01%      0.30s  4.70%  runtime.memmove
     0.22s  3.45% 45.45%      0.73s 11.44%  runtime.mallocgc
     0.18s  2.82% 48.28%      0.18s  2.82%  runtime.greyobject
     0.17s  2.66% 50.94%      0.17s  2.66%  runtime.heapBitsForObject
     0.16s  2.51% 53.45%      0.16s  2.51%  runtime.futex
     0.13s  2.04% 55.49%      0.46s  7.21%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.12s  1.88% 57.37%      0.12s  1.88%  runtime.heapBitsSetType
     0.10s  1.57% 58.93%      0.11s  1.72%  bytes.(*Buffer).grow
     0.10s  1.57% 60.50%      0.10s  1.57%  runtime.aeshashbody
     0.08s  1.25% 61.76%      1.44s 22.57%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.08s  1.25% 63.01%      0.16s  2.51%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.06s  0.94% 63.95%      0.10s  1.57%  bytes.(*Buffer).WriteByte
     0.06s  0.94% 64.89%      0.09s  1.41%  runtime.evacuate
     0.06s  0.94% 65.83%      0.07s  1.10%  runtime.unlock
     0.05s  0.78% 66.61%      0.24s  3.76%  runtime.mapassign
     0.05s  0.78% 67.40%      0.09s  1.41%  runtime.step
     0.04s  0.63% 68.03%      0.07s  1.10%  encoding/json.(*decodeState).scanWhile
     0.04s  0.63% 68.65%      0.04s  0.63%  encoding/json.stateInString
     0.04s  0.63% 69.28%      0.04s  0.63%  runtime.duffcopy
     0.04s  0.63% 69.91%      0.93s 14.58%  runtime.gcDrain
     0.04s  0.63% 70.53%      0.06s  0.94%  runtime.mapaccess2_faststr
     0.04s  0.63% 71.16%      0.04s  0.63%  runtime.readvarint
     0.04s  0.63% 71.79%      0.15s  2.35%  runtime.selectgoImpl
     0.03s  0.47% 72.26%      0.24s  3.76%  bytes.(*Buffer).WriteString
     0.03s  0.47% 72.73%      0.04s  0.63%  runtime.concatstrings
     0.03s  0.47% 73.20%      0.04s  0.63%  runtime.lock
     0.03s  0.47% 73.67%      0.09s  1.41%  runtime.mapaccess1
     0.03s  0.47% 74.14%      0.04s  0.63%  runtime.mapaccess1_faststr
     0.03s  0.47% 74.61%      0.06s  0.94%  runtime.mapiternext
     0.03s  0.47% 75.08%      0.14s  2.19%  runtime.pcvalue
     0.03s  0.47% 75.55%      0.05s  0.78%  strings.FieldsFunc
