104.37s of 124.82s total (83.62%)
Dropped 1347 nodes (cum <= 0.62s)
      flat  flat%   sum%        cum   cum%
    16.31s 13.07% 13.07%     27.73s 22.22%  runtime.scanobject
    14.27s 11.43% 24.50%     14.89s 11.93%  syscall.Syscall
     6.24s  5.00% 29.50%      6.25s  5.01%  runtime.greyobject
     5.89s  4.72% 34.22%      5.89s  4.72%  runtime.heapBitsForObject
     5.89s  4.72% 38.94%     20.63s 16.53%  runtime.mallocgc
     5.57s  4.46% 43.40%      5.57s  4.46%  runtime.memclrNoHeapPointers
     4.54s  3.64% 47.04%      4.63s  3.71%  encoding/json.stateInString
     3.76s  3.01% 50.05%      3.83s  3.07%  syscall.Syscall6
     3.62s  2.90% 52.95%      7.16s  5.74%  encoding/json.(*decodeState).scanWhile
     3.19s  2.56% 55.50%      7.16s  5.74%  encoding/json.(*Decoder).readValue
     2.93s  2.35% 57.85%      2.93s  2.35%  runtime.memmove
     2.20s  1.76% 59.61%      2.57s  2.06%  runtime.mapiternext
     2.04s  1.63% 61.25%      8.24s  6.60%  runtime.mapassign
     1.92s  1.54% 62.79%      2.01s  1.61%  encoding/json.unquoteBytes
     1.70s  1.36% 64.15%      1.70s  1.36%  runtime.heapBitsSetType
     1.40s  1.12% 65.27%     27.44s 21.98%  encoding/json.(*decodeState).object
     1.29s  1.03% 66.30%      1.29s  1.03%  runtime.aeshashbody
     1.12s   0.9% 67.20%      1.12s   0.9%  runtime.futex
     0.92s  0.74% 67.94%      0.92s  0.74%  runtime.(*mSpanList).remove
     0.76s  0.61% 68.55%      1.86s  1.49%  runtime.evacuate
     0.66s  0.53% 69.08%      0.73s  0.58%  encoding/json.stateEndValue
     0.66s  0.53% 69.60%      0.90s  0.72%  path.Clean
     0.66s  0.53% 70.13%      1.86s  1.49%  runtime.typedmemmove
     0.62s   0.5% 70.63%      3.02s  2.42%  runtime.gentraceback
     0.62s   0.5% 71.13%      0.66s  0.53%  runtime.lock
     0.58s  0.46% 71.59%     24.53s 19.65%  runtime.gcDrain
     0.51s  0.41% 72.00%      1.36s  1.09%  runtime.mapiterinit
     0.49s  0.39% 72.39%      1.40s  1.12%  runtime.pcvalue
     0.46s  0.37% 72.76%      0.72s  0.58%  runtime.mapaccess2_faststr
     0.45s  0.36% 73.12%      1.78s  1.43%  runtime.sweepone
     0.43s  0.34% 73.47%      1.27s  1.02%  reflect.(*rtype).Name
     0.43s  0.34% 73.81%      1.67s  1.34%  syscall.ByteSliceFromString
     0.42s  0.34% 74.15%      0.84s  0.67%  reflect.(*rtype).String
     0.41s  0.33% 74.48%      4.59s  3.68%  runtime.rawstring
     0.40s  0.32% 74.80%      5.41s  4.33%  runtime.slicebytetostring
     0.39s  0.31% 75.11%     41.13s 32.95%  runtime.systemstack
     0.38s   0.3% 75.41%      0.72s  0.58%  runtime.mapaccess1
