84.44MB of 84.44MB total (  100%)
Dropped 1595 nodes (cum <= 0.42MB)
      flat  flat%   sum%        cum   cum%
      20MB 23.69% 23.69%       20MB 23.69%  runtime.rawstringtmp
   11.42MB 13.52% 37.21%    11.42MB 13.52%  runtime.hashGrow
      10MB 11.85% 49.05%    21.42MB 25.37%  runtime.mapassign
    7.32MB  8.66% 57.72%     7.32MB  8.66%  bytes.makeSlice
    6.01MB  7.11% 64.83%     6.01MB  7.11%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    4.05MB  4.79% 69.62%     4.05MB  4.79%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    3.52MB  4.17% 73.79%     3.52MB  4.17%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
       2MB  2.37% 76.16%        2MB  2.37%  runtime.makemap
    1.50MB  1.78% 77.94%        2MB  2.37%  crypto/x509.parseCertificate
    1.50MB  1.78% 79.72%     1.50MB  1.78%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
    1.19MB  1.41% 81.13%     1.19MB  1.41%  runtime.stringtoslicebyte
    1.02MB  1.21% 82.34%     1.02MB  1.21%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.19% 83.52%        1MB  1.19%  encoding/pem.Decode
       1MB  1.18% 84.71%        1MB  1.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
    0.79MB  0.94% 85.65%     0.79MB  0.94%  encoding/json.(*Decoder).refill
    0.79MB  0.94% 86.58%     0.79MB  0.94%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.68MB   0.8% 87.38%     0.68MB   0.8%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListPodSandboxResponse).Marshal
    0.62MB  0.74% 88.12%     0.62MB  0.74%  runtime.makechan
    0.52MB  0.61% 88.73%     1.52MB  1.80%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/reconciler.getVolumesFromPodDir
    0.51MB   0.6% 89.33%     0.51MB   0.6%  regexp/syntax.(*compiler).quest
    0.50MB   0.6% 89.93%     0.50MB   0.6%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.50MB   0.6% 90.52%     0.50MB   0.6%  regexp.(*bitState).reset
    0.50MB  0.59% 91.12%     4.55MB  5.39%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.59% 91.71%     0.50MB  0.59%  regexp/syntax.Compile
    0.50MB  0.59% 92.30%     0.50MB  0.59%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*WebService).Route
    0.50MB  0.59% 92.89%     0.50MB  0.59%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newSerializersForScheme
    0.50MB  0.59% 93.49%        1MB  1.18%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
    0.50MB  0.59% 94.08%     0.50MB  0.59%  reflect.unsafe_New
    0.50MB  0.59% 94.67%     0.50MB  0.59%  crypto/x509/pkix.(*Name).FillFromRDNSequence
    0.50MB  0.59% 95.26%        1MB  1.18%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB  0.59% 95.85%     0.50MB  0.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
    0.50MB  0.59% 96.45%     0.50MB  0.59%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.50MB  0.59% 97.04%     0.50MB  0.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
    0.50MB  0.59% 97.63%        1MB  1.18%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PersistentVolumeSpec).Unmarshal
    0.50MB  0.59% 98.22%     6.51MB  7.70%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
