77.69MB of 77.69MB total (  100%)
Dropped 1511 nodes (cum <= 0.39MB)
      flat  flat%   sum%        cum   cum%
      14MB 18.02% 18.02%       14MB 18.02%  runtime.rawstringtmp
   12.92MB 16.63% 34.65%    12.92MB 16.63%  runtime.hashGrow
    8.03MB 10.33% 44.98%     8.03MB 10.33%  bytes.makeSlice
    7.50MB  9.66% 54.64%    20.42MB 26.28%  runtime.mapassign
    4.05MB  5.21% 59.85%     4.05MB  5.21%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    4.01MB  5.17% 65.02%     4.01MB  5.17%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    3.50MB  4.51% 69.53%     3.50MB  4.51%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
       2MB  2.58% 72.10%        2MB  2.58%  runtime.makemap
    1.50MB  1.93% 74.03%        2MB  2.58%  crypto/x509.parseCertificate
    1.19MB  1.53% 75.57%     1.19MB  1.53%  runtime.stringtoslicebyte
    1.02MB  1.32% 76.88%     1.02MB  1.32%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.29% 78.17%        1MB  1.29%  encoding/pem.Decode
       1MB  1.29% 79.46%        1MB  1.29%  reflect.unsafe_New
       1MB  1.29% 80.75%        1MB  1.29%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
    0.79MB  1.02% 81.77%     0.79MB  1.02%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.62MB   0.8% 82.57%     0.62MB   0.8%  runtime.makechan
    0.52MB  0.67% 83.24%     0.52MB  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumesForPod
    0.51MB  0.65% 83.89%     0.51MB  0.65%  regexp/syntax.(*compiler).quest
    0.50MB  0.65% 84.54%     0.50MB  0.65%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.50MB  0.65% 85.19%     0.50MB  0.65%  regexp.(*bitState).reset
    0.50MB  0.65% 85.83%     0.50MB  0.65%  bufio.(*Scanner).Scan
    0.50MB  0.65% 86.48%     4.55MB  5.86%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.64% 87.12%     0.50MB  0.64%  regexp/syntax.Compile
    0.50MB  0.64% 87.77%     0.50MB  0.64%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*WebService).Route
    0.50MB  0.64% 88.41%     0.50MB  0.64%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newSerializersForScheme
    0.50MB  0.64% 89.06%     0.50MB  0.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
    0.50MB  0.64% 89.70%        2MB  2.58%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/typed/core/v1.(*persistentVolumes).Get
    0.50MB  0.64% 90.34%        2MB  2.58%  io/ioutil.readAll
    0.50MB  0.64% 90.99%        1MB  1.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
    0.50MB  0.64% 91.63%     0.50MB  0.64%  crypto/x509/pkix.(*Name).FillFromRDNSequence
    0.50MB  0.64% 92.28%        1MB  1.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB  0.64% 92.92%     0.50MB  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
    0.50MB  0.64% 93.56%     0.50MB  0.64%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.50MB  0.64% 94.21%     0.50MB  0.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
    0.50MB  0.64% 94.85%        1MB  1.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PersistentVolumeSpec).Unmarshal
    0.50MB  0.64% 95.49%     0.50MB  0.64%  github.com/openshift/origin/vendor/github.com/google/cadvisor/info/v2.ContainerStatsFromV1
    0.50MB  0.64% 96.14%     0.50MB  0.64%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/watch.NewStreamWatcher
    0.50MB  0.64% 96.78%     0.50MB  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*ServiceSpec).Unmarshal
    0.50MB  0.64% 97.43%     5.50MB  7.09%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.containerToRuntimeAPISandbox
    0.50MB  0.64% 98.07%     0.50MB  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_SecurityContext
    0.50MB  0.64% 98.71%     0.50MB  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ContainerConfig).Unmarshal
    0.50MB  0.64% 99.36%        1MB  1.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).generateContainerConfig
    0.50MB  0.64%   100%     0.50MB  0.64%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSecurityContext).Unmarshal
         0     0%   100%     5.90MB  7.59%  bytes.(*Buffer).ReadFrom
         0     0%   100%     2.13MB  2.74%  bytes.(*Buffer).WriteString
         0     0%   100%     2.13MB  2.74%  bytes.(*Buffer).grow
         0     0%   100%        3MB  3.87%  crypto/tls.(*Conn).Handshake
         0     0%   100%        3MB  3.87%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%        3MB  3.87%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%        3MB  3.87%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%        3MB  3.87%  crypto/x509.(*Certificate).Verify
         0     0%   100%        2MB  2.58%  crypto/x509.ParseCertificate
         0     0%   100%        3MB  3.87%  crypto/x509.initSystemRoots
         0     0%   100%        3MB  3.87%  crypto/x509.loadSystemRoots
         0     0%   100%        3MB  3.87%  crypto/x509.systemRootsPool
         0     0%   100%     5.50MB  7.08%  encoding/json.(*Decoder).Decode
         0     0%   100%     3.50MB  4.51%  encoding/json.(*decodeState).array
         0     0%   100%        3MB  3.86%  encoding/json.(*decodeState).literal
         0     0%   100%        3MB  3.86%  encoding/json.(*decodeState).literalStore
         0     0%   100%     5.50MB  7.08%  encoding/json.(*decodeState).object
         0     0%   100%     5.50MB  7.08%  encoding/json.(*decodeState).unmarshal
         0     0%   100%     5.50MB  7.08%  encoding/json.(*decodeState).value
         0     0%   100%     0.50MB  0.64%  fmt.Sprintf
         0     0%   100%     0.60MB  0.77%  github.com/openshift/origin/pkg/auth/server/errorpage.init
         0     0%   100%     0.60MB  0.77%  github.com/openshift/origin/pkg/auth/server/selectprovider.init
         0     0%   100%     0.50MB  0.64%  github.com/openshift/origin/pkg/build/apis/build/validation.init
         0     0%   100%     0.50MB  0.64%  github.com/openshift/origin/pkg/build/builder.init
         0     0%   100%        1MB  1.29%  github.com/openshift/origin/pkg/build/builder/cmd.init
