28880.51kB of 28880.51kB total (  100%)
Dropped 1101 nodes (cum <= 144.40kB)
      flat  flat%   sum%        cum   cum%
 4144.18kB 14.35% 14.35%  4144.18kB 14.35%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 3585.21kB 12.41% 26.76%  3585.21kB 12.41%  runtime.rawstringtmp
 3229.66kB 11.18% 37.95%  3229.66kB 11.18%  runtime.hashGrow
 2413.56kB  8.36% 46.30%  2413.56kB  8.36%  bytes.makeSlice
 2048.55kB  7.09% 53.40%  5278.21kB 18.28%  runtime.mapassign
 1537.69kB  5.32% 58.72%  2049.84kB  7.10%  crypto/x509.parseCertificate
    1219kB  4.22% 62.94%     1219kB  4.22%  runtime.stringtoslicebyte
 1048.19kB  3.63% 66.57%  1048.19kB  3.63%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
    1026kB  3.55% 70.12%     1026kB  3.55%  encoding/pem.Decode
 1024.88kB  3.55% 73.67%  1536.98kB  5.32%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
 1024.46kB  3.55% 77.22%  1024.46kB  3.55%  runtime.makemap
  809.97kB  2.80% 80.02%   809.97kB  2.80%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  636.73kB  2.20% 82.23%   636.73kB  2.20%  runtime.makechan
  517.33kB  1.79% 84.02%   517.33kB  1.79%  regexp/syntax.(*compiler).quest
     515kB  1.78% 85.80%      515kB  1.78%  regexp.(*bitState).reset
     514kB  1.78% 87.58%  4658.18kB 16.13%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
  512.62kB  1.77% 89.36%   512.62kB  1.77%  regexp/syntax.Compile
  512.56kB  1.77% 91.13%   512.56kB  1.77%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*WebService).Route
  512.34kB  1.77% 92.91%   512.34kB  1.77%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newSerializersForScheme
  512.28kB  1.77% 94.68%   512.28kB  1.77%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
  512.16kB  1.77% 96.45%   512.16kB  1.77%  crypto/x509/pkix.(*Name).FillFromRDNSequence
  512.08kB  1.77% 98.23%   512.08kB  1.77%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
  512.05kB  1.77%   100%   512.05kB  1.77%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PersistentVolumeSpec).Unmarshal
         0     0%   100%  2413.56kB  8.36%  bytes.(*Buffer).ReadFrom
         0     0%   100%  3075.84kB 10.65%  crypto/tls.(*Conn).Handshake
         0     0%   100%  3075.84kB 10.65%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%  3075.84kB 10.65%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%  3075.84kB 10.65%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%  3075.84kB 10.65%  crypto/x509.(*Certificate).Verify
         0     0%   100%  2049.84kB  7.10%  crypto/x509.ParseCertificate
         0     0%   100%  3075.84kB 10.65%  crypto/x509.initSystemRoots
         0     0%   100%  3075.84kB 10.65%  crypto/x509.loadSystemRoots
         0     0%   100%  3075.84kB 10.65%  crypto/x509.systemRootsPool
         0     0%   100%   512.05kB  1.77%  encoding/json.(*Decoder).Decode
         0     0%   100%   512.05kB  1.77%  encoding/json.(*decodeState).literal
         0     0%   100%   512.05kB  1.77%  encoding/json.(*decodeState).literalStore
         0     0%   100%   512.05kB  1.77%  encoding/json.(*decodeState).object
         0     0%   100%   512.05kB  1.77%  encoding/json.(*decodeState).unmarshal
         0     0%   100%   512.05kB  1.77%  encoding/json.(*decodeState).value
         0     0%   100%   512.34kB  1.77%  fmt.Sprintf
         0     0%   100%   609.50kB  2.11%  github.com/openshift/origin/pkg/auth/server/errorpage.init
         0     0%   100%   609.50kB  2.11%  github.com/openshift/origin/pkg/auth/server/selectprovider.init
         0     0%   100%   512.34kB  1.77%  github.com/openshift/origin/pkg/build/apis/build/validation.init
         0     0%   100%   512.34kB  1.77%  github.com/openshift/origin/pkg/build/builder.init
         0     0%   100%  1024.69kB  3.55%  github.com/openshift/origin/pkg/build/builder/cmd.init
         0     0%   100%   512.34kB  1.77%  github.com/openshift/origin/pkg/build/controller/strategy.init
         0     0%   100%  2049.94kB  7.10%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%  2048.63kB  7.09%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
