34.14s of 42.80s total (79.77%)
Dropped 1160 nodes (cum <= 0.21s)
      flat  flat%   sum%        cum   cum%
     5.98s 13.97% 13.97%      9.57s 22.36%  runtime.scanobject
     5.34s 12.48% 26.45%      5.69s 13.29%  syscall.Syscall
     2.07s  4.84% 31.29%      2.09s  4.88%  runtime.greyobject
     1.88s  4.39% 35.68%      1.88s  4.39%  runtime.memclrNoHeapPointers
     1.76s  4.11% 39.79%      1.76s  4.11%  runtime.heapBitsForObject
     1.60s  3.74% 43.53%      6.03s 14.09%  runtime.mallocgc
     1.48s  3.46% 46.99%      1.49s  3.48%  encoding/json.stateInString
     1.31s  3.06% 50.05%      1.34s  3.13%  syscall.Syscall6
     0.97s  2.27% 52.31%      1.91s  4.46%  encoding/json.(*decodeState).scanWhile
     0.88s  2.06% 54.37%      0.88s  2.06%  runtime.memmove
     0.83s  1.94% 56.31%      2.52s  5.89%  encoding/json.(*Decoder).readValue
     0.80s  1.87% 58.18%      0.80s  1.87%  runtime.heapBitsSetType
     0.74s  1.73% 59.91%      3.01s  7.03%  runtime.mapassign
     0.59s  1.38% 61.29%      7.87s 18.39%  encoding/json.(*decodeState).object
     0.59s  1.38% 62.66%      0.62s  1.45%  runtime.mapiternext
     0.55s  1.29% 63.95%      0.55s  1.29%  runtime.aeshashbody
     0.50s  1.17% 65.12%      0.52s  1.21%  encoding/json.unquoteBytes
     0.34s  0.79% 65.91%      0.89s  2.08%  runtime.evacuate
     0.30s   0.7% 66.61%      0.34s  0.79%  encoding/json.stateEndValue
     0.28s  0.65% 67.27%      0.28s  0.65%  runtime.futex
     0.26s  0.61% 67.87%      1.27s  2.97%  runtime.gentraceback
     0.25s  0.58% 68.46%      0.65s  1.52%  runtime.typedmemmove
     0.23s  0.54% 69.00%      9.15s 21.38%  runtime.gcDrain
     0.20s  0.47% 69.46%      0.27s  0.63%  path.Clean
     0.19s  0.44% 69.91%      0.41s  0.96%  runtime.sweepone
     0.18s  0.42% 70.33%      0.54s  1.26%  syscall.ByteSliceFromString
     0.17s   0.4% 70.72%      0.32s  0.75%  runtime.mapaccess2_faststr
     0.16s  0.37% 71.10%      0.28s  0.65%  reflect.(*rtype).String
     0.16s  0.37% 71.47%      1.85s  4.32%  runtime.newobject
     0.15s  0.35% 71.82%      0.58s  1.36%  runtime.pcvalue
     0.15s  0.35% 72.17%      1.13s  2.64%  runtime.rawstring
     0.14s  0.33% 72.50%      1.50s  3.50%  runtime.slicebytetostring
     0.14s  0.33% 72.83%     14.08s 32.90%  runtime.systemstack
     0.13s   0.3% 73.13%      0.41s  0.96%  reflect.(*rtype).Name
     0.13s   0.3% 73.43%      0.28s  0.65%  runtime.scanblock
     0.13s   0.3% 73.74%      0.34s  0.79%  runtime.step
     0.12s  0.28% 74.02%      0.60s  1.40%  encoding/json.(*decodeState).indirect
     0.12s  0.28% 74.30%      1.11s  2.59%  runtime.(*mcentral).cacheSpan
     0.12s  0.28% 74.58%      0.24s  0.56%  runtime.bulkBarrierPreWrite
     0.11s  0.26% 74.84%      1.24s  2.90%  runtime.rawstringtmp
     0.10s  0.23% 75.07%      2.24s  5.23%  runtime.makeslice
     0.10s  0.23% 75.30%      0.32s  0.75%  runtime.writebarrierptr_prewrite1
     0.08s  0.19% 75.49%      0.22s  0.51%  runtime.(*mspan).sweep
     0.08s  0.19% 75.68%      0.32s  0.75%  runtime.concatstrings
     0.08s  0.19% 75.86%      0.23s  0.54%  runtime.gcmarkwb_m
     0.08s  0.19% 76.05%      0.30s   0.7%  runtime.mapiterinit
     0.07s  0.16% 76.21%      1.57s  3.67%  encoding/json.(*decodeState).literalStore
     0.07s  0.16% 76.38%      0.27s  0.63%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*desiredStateOfWorld).GetVolumesToMount
     0.07s  0.16% 76.54%      0.32s  0.75%  runtime.convT2E
     0.06s  0.14% 76.68%      0.31s  0.72%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).MarshalTo
     0.06s  0.14% 76.82%      1.04s  2.43%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.06s  0.14% 76.96%      0.52s  1.21%  runtime.schedule
     0.05s  0.12% 77.08%      2.73s  6.38%  encoding/json.(*decodeState).literal
     0.05s  0.12% 77.20%      0.41s  0.96%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.05s  0.12% 77.31%      1.08s  2.52%  runtime.newarray
     0.05s  0.12% 77.43%      0.59s  1.38%  syscall.BytePtrFromString
     0.04s 0.093% 77.52%      1.09s  2.55%  reflect.Value.SetMapIndex
     0.04s 0.093% 77.62%      0.27s  0.63%  reflect.Zero
     0.04s 0.093% 77.71%      0.60s  1.40%  reflect.deepValueEqual
     0.04s 0.093% 77.80%      0.40s  0.93%  runtime.findrunnable
     0.04s 0.093% 77.90%      0.24s  0.56%  runtime.growslice
     0.04s 0.093% 77.99%      0.50s  1.17%  runtime.scanframeworker
     0.04s 0.093% 78.08%      0.31s  0.72%  runtime.selectgoImpl
     0.03s  0.07% 78.15%      7.98s 18.64%  encoding/json.(*decodeState).value
     0.03s  0.07% 78.22%      0.94s  2.20%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.03s  0.07% 78.29%      0.46s  1.07%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
