66.53s of 79.59s total (83.59%)
Dropped 1188 nodes (cum <= 0.40s)
      flat  flat%   sum%        cum   cum%
    10.51s 13.21% 13.21%     17.74s 22.29%  runtime.scanobject
     9.15s 11.50% 24.70%      9.69s 12.17%  syscall.Syscall
     3.90s  4.90% 29.60%      3.90s  4.90%  runtime.heapBitsForObject
     3.90s  4.90% 34.50%      3.90s  4.90%  runtime.memclrNoHeapPointers
     3.85s  4.84% 39.34%      3.85s  4.84%  runtime.greyobject
     3.26s  4.10% 43.44%     11.87s 14.91%  runtime.mallocgc
     2.94s  3.69% 47.13%      2.99s  3.76%  encoding/json.stateInString
     2.42s  3.04% 50.17%      4.78s  6.01%  encoding/json.(*decodeState).scanWhile
     2.17s  2.73% 52.90%      4.91s  6.17%  encoding/json.(*Decoder).readValue
     2.16s  2.71% 55.61%      2.16s  2.71%  runtime.memmove
     2.10s  2.64% 58.25%      2.14s  2.69%  syscall.Syscall6
     1.22s  1.53% 59.78%      5.35s  6.72%  runtime.mapassign
     1.16s  1.46% 61.24%     17.63s 22.15%  encoding/json.(*decodeState).object
     1.14s  1.43% 62.67%      1.14s  1.43%  runtime.heapBitsSetType
     1.09s  1.37% 64.04%      1.25s  1.57%  runtime.mapiternext
     0.97s  1.22% 65.26%      0.97s  1.22%  runtime.aeshashbody
     0.96s  1.21% 66.47%      1.05s  1.32%  encoding/json.unquoteBytes
     0.64s   0.8% 67.27%      0.64s   0.8%  runtime.futex
     0.58s  0.73% 68.00%      1.38s  1.73%  runtime.typedmemmove
     0.49s  0.62% 68.61%      0.59s  0.74%  encoding/json.stateEndValue
     0.46s  0.58% 69.19%      0.92s  1.16%  reflect.(*rtype).Name
     0.44s  0.55% 69.74%      1.16s  1.46%  runtime.evacuate
     0.43s  0.54% 70.29%      0.44s  0.55%  runtime.lock
     0.40s   0.5% 70.79%      0.52s  0.65%  path.Clean
     0.40s   0.5% 71.29%      0.40s   0.5%  runtime.unlock
     0.39s  0.49% 71.78%     26.38s 33.14%  runtime.systemstack
     0.37s  0.46% 72.25%      2.10s  2.64%  runtime.gentraceback
     0.34s  0.43% 72.67%     16.57s 20.82%  runtime.gcDrain
     0.34s  0.43% 73.10%      0.62s  0.78%  runtime.mapaccess2_faststr
     0.34s  0.43% 73.53%         3s  3.77%  runtime.slicebytetostring
     0.30s  0.38% 73.90%      1.54s  1.93%  encoding/json.(*decodeState).indirect
     0.28s  0.35% 74.26%      2.12s  2.66%  runtime.rawstring
     0.28s  0.35% 74.61%      0.96s  1.21%  syscall.ByteSliceFromString
     0.26s  0.33% 74.93%      0.47s  0.59%  reflect.(*rtype).String
     0.25s  0.31% 75.25%      0.90s  1.13%  runtime.pcvalue
     0.25s  0.31% 75.56%      0.87s  1.09%  runtime.writebarrierptr_prewrite1
     0.24s   0.3% 75.86%      2.36s  2.97%  runtime.rawstringtmp
     0.22s  0.28% 76.14%      3.52s  4.42%  runtime.newobject
     0.21s  0.26% 76.40%      0.87s  1.09%  runtime.convT2E
     0.21s  0.26% 76.67%      0.47s  0.59%  runtime.mapaccess1
     0.21s  0.26% 76.93%      0.47s  0.59%  runtime.scanblock
     0.20s  0.25% 77.18%      0.55s  0.69%  runtime.step
     0.19s  0.24% 77.42%      3.36s  4.22%  encoding/json.(*decodeState).literalStore
     0.19s  0.24% 77.66%      0.42s  0.53%  strings.genSplit
     0.17s  0.21% 77.87%      1.97s  2.48%  runtime.(*mcentral).cacheSpan
     0.17s  0.21% 78.09%      0.53s  0.67%  runtime.gcmarkwb_m
     0.17s  0.21% 78.30%      0.95s  1.19%  runtime.sweepone
     0.16s   0.2% 78.50%      0.49s  0.62%  runtime.bulkBarrierPreWrite
     0.15s  0.19% 78.69%      1.82s  2.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.14s  0.18% 78.87%      1.85s  2.32%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.13s  0.16% 79.03%      0.40s   0.5%  runtime.makemap
     0.13s  0.16% 79.19%      0.41s  0.52%  syscall.ParseDirent
     0.11s  0.14% 79.33%      0.47s  0.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).MarshalTo
     0.11s  0.14% 79.47%      0.44s  0.55%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.11s  0.14% 79.61%      1.02s  1.28%  reflect.New
     0.11s  0.14% 79.75%      0.41s  0.52%  runtime.(*mheap).alloc_m
     0.11s  0.14% 79.88%      0.51s  0.64%  runtime.mapiterinit
     0.10s  0.13% 80.01%     17.93s 22.53%  encoding/json.(*decodeState).value
     0.10s  0.13% 80.14%      0.46s  0.58%  reflect.Zero
     0.10s  0.13% 80.26%      0.63s  0.79%  runtime.writebarrierptr_prewrite1.func1
     0.09s  0.11% 80.37%      1.63s  2.05%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.09s  0.11% 80.49%      0.44s  0.55%  reflect.(*rtype).typeOff
     0.09s  0.11% 80.60%      4.49s  5.64%  runtime.makeslice
     0.08s   0.1% 80.70%      0.69s  0.87%  reflect.deepValueEqual
     0.08s   0.1% 80.80%      0.67s  0.84%  runtime.(*mspan).sweep
     0.08s   0.1% 80.90%      0.78s  0.98%  runtime.schedule
     0.08s   0.1% 81.00%      0.62s  0.78%  runtime.writebarrierptr
     0.08s   0.1% 81.10%      0.46s  0.58%  strings.Replace
     0.07s 0.088% 81.19%      0.45s  0.57%  encoding/json.cachedTypeFields
     0.07s 0.088% 81.28%      1.01s  1.27%  reflect.makeString
     0.07s 0.088% 81.37%      2.46s  3.09%  runtime.(*mcache).nextFree
     0.07s 0.088% 81.45%      0.73s  0.92%  runtime.concatstrings
     0.07s 0.088% 81.54%      2.27s  2.85%  runtime.newarray
     0.07s 0.088% 81.63%      0.89s  1.12%  runtime.scanframeworker
     0.06s 0.075% 81.71%      5.99s  7.53%  encoding/json.(*decodeState).literal
     0.06s 0.075% 81.78%      0.42s  0.53%  reflect.typedmemmove
     0.06s 0.075% 81.86%      0.49s  0.62%  runtime.pcdatavalue
     0.06s 0.075% 81.93%      1.02s  1.28%  syscall.BytePtrFromString
