86.98MB of 86.98MB total (  100%)
Dropped 1625 nodes (cum <= 0.43MB)
      flat  flat%   sum%        cum   cum%
   18.50MB 21.27% 21.27%    18.50MB 21.27%  runtime.rawstringtmp
   11.92MB 13.70% 34.97%    11.92MB 13.70%  runtime.hashGrow
    9.51MB 10.93% 45.90%    11.01MB 12.66%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    7.32MB  8.41% 54.31%     7.32MB  8.41%  bytes.makeSlice
    6.54MB  7.52% 61.83%     6.54MB  7.52%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    6.50MB  7.48% 69.31%    18.42MB 21.18%  runtime.mapassign
    4.05MB  4.65% 73.96%     4.05MB  4.65%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.50MB  2.87% 76.83%     2.50MB  2.87%  runtime.makemap
    1.50MB  1.73% 78.56%        2MB  2.30%  crypto/x509.parseCertificate
    1.19MB  1.37% 79.93%     1.19MB  1.37%  runtime.stringtoslicebyte
    1.02MB  1.18% 81.11%     1.02MB  1.18%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.15% 82.26%        1MB  1.15%  encoding/pem.Decode
       1MB  1.15% 83.41%        1MB  1.15%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
       1MB  1.15% 84.56%        1MB  1.15%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setCpuStats
    0.79MB  0.91% 85.47%     0.79MB  0.91%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.62MB  0.71% 86.18%     0.62MB  0.71%  runtime.makechan
    0.51MB  0.58% 86.76%     0.51MB  0.58%  regexp/syntax.(*compiler).quest
    0.50MB  0.58% 87.34%     0.50MB  0.58%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.50MB  0.58% 87.92%     0.50MB  0.58%  regexp.(*bitState).reset
