4.07s of 5.02s total (81.08%)
Dropped 542 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     1.04s 20.72% 20.72%      1.09s 21.71%  syscall.Syscall
     0.46s  9.16% 29.88%      0.64s 12.75%  runtime.scanobject
     0.39s  7.77% 37.65%      0.41s  8.17%  syscall.Syscall6
     0.20s  3.98% 41.63%      0.52s 10.36%  runtime.mallocgc
     0.16s  3.19% 44.82%      0.16s  3.19%  runtime.memmove
     0.15s  2.99% 47.81%      0.15s  2.99%  runtime.memclrNoHeapPointers
     0.11s  2.19% 50.00%      0.11s  2.19%  runtime.greyobject
     0.10s  1.99% 51.99%      0.10s  1.99%  runtime.futex
     0.10s  1.99% 53.98%      0.10s  1.99%  runtime.heapBitsForObject
     0.07s  1.39% 55.38%      0.07s  1.39%  runtime.heapBitsSetType
     0.06s  1.20% 56.57%      0.06s  1.20%  runtime.epollwait
     0.05s     1% 57.57%      0.05s     1%  runtime.lock
     0.05s     1% 58.57%      0.13s  2.59%  runtime.pcvalue
     0.04s   0.8% 59.36%      0.04s   0.8%  runtime.duffcopy
     0.04s   0.8% 60.16%      0.04s   0.8%  runtime.findfunc
     0.04s   0.8% 60.96%      0.09s  1.79%  runtime.mapassign
     0.04s   0.8% 61.75%      0.04s   0.8%  runtime.memeqbody
     0.04s   0.8% 62.55%      0.22s  4.38%  runtime.newobject
     0.04s   0.8% 63.35%      0.04s   0.8%  runtime.readvarint
     0.04s   0.8% 64.14%      0.08s  1.59%  runtime.step
     0.03s   0.6% 64.74%      0.03s   0.6%  path.Clean
     0.03s   0.6% 65.34%      0.04s   0.8%  runtime.(*mheap).allocSpanLocked
     0.03s   0.6% 65.94%      0.08s  1.59%  runtime.adjustframe
     0.03s   0.6% 66.53%      0.03s   0.6%  runtime.casgstatus
     0.03s   0.6% 67.13%      0.28s  5.58%  runtime.gentraceback
     0.03s   0.6% 67.73%      0.03s   0.6%  runtime.getitab
     0.03s   0.6% 68.33%      0.05s     1%  runtime.growslice
     0.03s   0.6% 68.92%      0.03s   0.6%  runtime.mapiterinit
     0.03s   0.6% 69.52%      0.03s   0.6%  runtime.newdefer
     0.03s   0.6% 70.12%      0.05s     1%  runtime.reentersyscall
     0.03s   0.6% 70.72%      0.16s  3.19%  runtime.selectgoImpl
     0.03s   0.6% 71.31%      0.03s   0.6%  runtime.unlock
     0.03s   0.6% 71.91%      0.10s  1.99%  syscall.ByteSliceFromString
     0.03s   0.6% 72.51%      0.05s     1%  syscall.ParseDirent
     0.02s   0.4% 72.91%      0.10s  1.99%  encoding/json.(*Decoder).readValue
     0.02s   0.4% 73.31%      0.03s   0.6%  net/url.escape
     0.02s   0.4% 73.71%      0.27s  5.38%  runtime.makeslice
     0.02s   0.4% 74.10%      0.08s  1.59%  runtime.rawstringtmp
     0.02s   0.4% 74.50%      0.07s  1.39%  runtime.send
     0.02s   0.4% 74.90%      0.04s   0.8%  strings.FieldsFunc
     0.01s   0.2% 75.10%      0.20s  3.98%  encoding/json.(*decodeState).object
     0.01s   0.2% 75.30%      0.21s  4.18%  encoding/json.(*decodeState).unmarshal
     0.01s   0.2% 75.50%      0.08s  1.59%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
     0.01s   0.2% 75.70%      0.26s  5.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListDirectories
     0.01s   0.2% 75.90%      0.34s  6.77%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readString
     0.01s   0.2% 76.10%      0.42s  8.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).GetContainerInfoV2
     0.01s   0.2% 76.29%      0.05s     1%  github.com/openshift/origin/vendor/golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.01s   0.2% 76.49%      0.03s   0.6%  github.com/openshift/origin/vendor/golang.org/x/net/trace.(*trace).Finish
     0.01s   0.2% 76.69%      0.08s  1.59%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Client).NewStream
     0.01s   0.2% 76.89%      0.08s  1.59%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Client).reader
     0.01s   0.2% 77.09%      0.05s     1%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cm.ConvertCgroupNameToSystemd
     0.01s   0.2% 77.29%      0.14s  2.79%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/remote.(*RemoteRuntimeService).ListPodSandbox
     0.01s   0.2% 77.49%      0.04s   0.8%  io/ioutil.ReadDir.func1
     0.01s   0.2% 77.69%      0.64s 12.75%  io/ioutil.ReadFile
     0.01s   0.2% 77.89%      0.03s   0.6%  net/http.(*body).readLocked
     0.01s   0.2% 78.09%      0.03s   0.6%  net/http.(*persistConn).readLoop.func2
     0.01s   0.2% 78.29%      0.04s   0.8%  net/http.ReadResponse
     0.01s   0.2% 78.49%      0.10s  1.99%  net/http.send
     0.01s   0.2% 78.69%      0.68s 13.55%  os.(*File).readdir
     0.01s   0.2% 78.88%      0.04s   0.8%  reflect.deepValueEqual
     0.01s   0.2% 79.08%      0.03s   0.6%  reflect.mapaccess
     0.01s   0.2% 79.28%      0.13s  2.59%  runtime.(*mcentral).cacheSpan
     0.01s   0.2% 79.48%      0.03s   0.6%  runtime.chanrecv
     0.01s   0.2% 79.68%      0.12s  2.39%  runtime.findrunnable
     0.01s   0.2% 79.88%      0.63s 12.55%  runtime.gcDrain
     0.01s   0.2% 80.08%      0.06s  1.20%  runtime.rawstring
     0.01s   0.2% 80.28%      0.04s   0.8%  runtime.scanblock
     0.01s   0.2% 80.48%      0.14s  2.79%  runtime.schedule
     0.01s   0.2% 80.68%      0.10s  1.99%  runtime.slicebytetostring
     0.01s   0.2% 80.88%      0.11s  2.19%  syscall.BytePtrFromString
     0.01s   0.2% 81.08%      0.42s  8.37%  syscall.Lstat
         0     0% 81.08%      0.04s   0.8%  bufio.(*Reader).Peek
         0     0% 81.08%      0.06s  1.20%  bufio.(*Reader).Read
         0     0% 81.08%      0.05s     1%  bufio.(*Reader).fill
         0     0% 81.08%      0.10s  1.99%  bufio.(*Scanner).Scan
         0     0% 81.08%      0.10s  1.99%  bufio.(*Writer).Flush
         0     0% 81.08%      0.19s  3.78%  bytes.(*Buffer).ReadFrom
         0     0% 81.08%      0.06s  1.20%  bytes.makeSlice
         0     0% 81.08%      0.04s   0.8%  crypto/tls.(*Conn).Handshake
         0     0% 81.08%      0.29s  5.78%  encoding/json.(*Decoder).Decode
         0     0% 81.08%      0.07s  1.39%  encoding/json.(*Decoder).refill
         0     0% 81.08%      0.12s  2.39%  encoding/json.(*decodeState).array
         0     0% 81.08%      0.05s     1%  encoding/json.(*decodeState).literal
         0     0% 81.08%      0.04s   0.8%  encoding/json.(*decodeState).literalStore
         0     0% 81.08%      0.20s  3.98%  encoding/json.(*decodeState).value
         0     0% 81.08%      0.04s   0.8%  encoding/json.(*encodeState).marshal
         0     0% 81.08%      0.04s   0.8%  encoding/json.(*encodeState).reflectValue
         0     0% 81.08%      0.03s   0.6%  encoding/json.(*ptrEncoder).(encoding/json.encode)-fm
         0     0% 81.08%      0.03s   0.6%  encoding/json.(*ptrEncoder).encode
         0     0% 81.08%      0.03s   0.6%  encoding/json.(*structEncoder).(encoding/json.encode)-fm
         0     0% 81.08%      0.03s   0.6%  encoding/json.(*structEncoder).encode
         0     0% 81.08%      0.04s   0.8%  encoding/json.Marshal
         0     0% 81.08%      0.03s   0.6%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).InspectContainer
         0     0% 81.08%      0.24s  4.78%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0% 81.08%      0.07s  1.39%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListImages
         0     0% 81.08%      0.03s   0.6%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/ec2metadata.(*EC2Metadata).GetMetadata
         0     0% 81.08%      0.04s   0.8%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/request.(*HandlerList).Run
         0     0% 81.08%      0.04s   0.8%  github.com/openshift/origin/vendor/github.com/aws/aws-sdk-go/aws/request.(*Request).Send
         0     0% 81.08%      0.03s   0.6%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerInspect
         0     0% 81.08%      0.24s  4.78%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
         0     0% 81.08%      0.07s  1.39%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ImageList
         0     0% 81.08%      0.04s   0.8%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ServerVersion
         0     0% 81.08%      0.09s  1.79%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).get
         0     0% 81.08%      0.03s   0.6%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).getAPIPath
         0     0% 81.08%      0.03s   0.6%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).newRequest
         0     0% 81.08%      0.09s  1.79%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendRequest
         0     0% 81.08%      0.05s     1%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.(*notifyingReader).Read
         0     0% 81.08%      0.04s   0.8%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do
         0     0% 81.08%      0.06s  1.20%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do.func1
         0     0% 81.08%      0.05s     1%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.Unmarshal
         0     0% 81.08%      0.05s     1%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.UnmarshalMerge
         0     0% 81.08%      0.42s  8.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
         0     0% 81.08%      0.26s  5.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListContainers
         0     0% 81.08%      0.31s  6.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readUInt64
         0     0% 81.08%      0.79s 15.74%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 81.08%      0.42s  8.37%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetSpec
         0     0% 81.08%      0.81s 16.14%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 81.08%      0.26s  5.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).ListContainers
         0     0% 81.08%      0.05s     1%  github.com/openshift/origin/vendor/github.com/google/cadvisor/info/v1.(*ContainerStats).StatsEq
         0     0% 81.08%      0.41s  8.17%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).GetInfo
         0     0% 81.08%      0.91s 18.13%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0% 81.08%      0.85s 16.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0% 81.08%      0.06s  1.20%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).nextHousekeeping
         0     0% 81.08%      0.43s  8.57%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateSpec
         0     0% 81.08%      0.85s 16.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0% 81.08%      0.08s  1.59%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).Start
         0     0% 81.08%      0.03s   0.6%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).createContainer
         0     0% 81.08%      0.03s   0.6%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).createContainerLocked
         0     0% 81.08%      0.28s  5.58%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).detectSubcontainers
         0     0% 81.08%      0.26s  5.18%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).getContainersDiff
         0     0% 81.08%      0.22s  4.38%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).globalHousekeeping
         0     0% 81.08%      0.05s     1%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).watchForNewContainers
         0     0% 81.08%      0.03s   0.6%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager/watcher/raw.(*rawContainerWatcher).watchDirectory
         0     0% 81.08%      0.14s  2.79%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.FileExists
         0     0% 81.08%      0.04s   0.8%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups.PathExists
         0     0% 81.08%      0.09s  1.79%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*BlkioGroup).GetStats
         0     0% 81.08%      0.04s   0.8%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*CpuGroup).GetStats
         0     0% 81.08%      0.07s  1.39%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*CpuacctGroup).GetStats
         0     0% 81.08%      0.77s 15.34%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*Manager).GetStats
         0     0% 81.08%      0.53s 10.56%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*MemoryGroup).GetStats
         0     0% 81.08%      0.09s  1.79%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
         0     0% 81.08%      0.43s  8.57%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getCgroupParamUint
         0     0% 81.08%      0.42s  8.37%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getMemoryData
         0     0% 81.08%      0.04s   0.8%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getPercpuUsage
         0     0% 81.08%      0.07s  1.39%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getStats
         0     0% 81.08%      0.09s  1.79%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).ReadFrame
         0     0% 81.08%      0.05s     1%  github.com/openshift/origin/vendor/golang.org/x/net/http2.readFrameHeader
