4.78s of 6.02s total (79.40%)
Dropped 531 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     1.20s 19.93% 19.93%      1.27s 21.10%  syscall.Syscall
     0.64s 10.63% 30.56%      0.83s 13.79%  runtime.scanobject
     0.39s  6.48% 37.04%      0.39s  6.48%  runtime.memclrNoHeapPointers
     0.37s  6.15% 43.19%      0.37s  6.15%  syscall.Syscall6
     0.25s  4.15% 47.34%      0.83s 13.79%  runtime.mallocgc
     0.16s  2.66% 50.00%      0.16s  2.66%  runtime.futex
     0.14s  2.33% 52.33%      0.14s  2.33%  runtime.heapBitsForObject
     0.11s  1.83% 54.15%      0.11s  1.83%  runtime.memmove
     0.09s  1.50% 55.65%      0.09s  1.50%  runtime.greyobject
     0.08s  1.33% 56.98%      0.13s  2.16%  encoding/json.(*Decoder).readValue
     0.07s  1.16% 58.14%      0.90s 14.95%  runtime.gcDrain
     0.07s  1.16% 59.30%      0.07s  1.16%  runtime.heapBitsSetType
     0.07s  1.16% 60.47%      0.07s  1.16%  runtime.readvarint
     0.06s     1% 61.46%      0.17s  2.82%  runtime.mapassign
     0.05s  0.83% 62.29%      0.11s  1.83%  runtime.concatstrings
     0.05s  0.83% 63.12%      0.05s  0.83%  runtime.duffcopy
     0.05s  0.83% 63.95%      0.29s  4.82%  runtime.gentraceback
     0.05s  0.83% 64.78%      0.30s  4.98%  runtime.newobject
     0.05s  0.83% 65.61%      0.10s  1.66%  syscall.ByteSliceFromString
     0.04s  0.66% 66.28%      0.04s  0.66%  reflect.Value.Field
     0.04s  0.66% 66.94%      0.04s  0.66%  runtime._ExternalCode
     0.04s  0.66% 67.61%      0.07s  1.16%  runtime.typedmemmove
     0.03s   0.5% 68.11%      0.08s  1.33%  encoding/json.(*decodeState).indirect
     0.03s   0.5% 68.60%      0.39s  6.48%  encoding/json.(*decodeState).object
     0.03s   0.5% 69.10%      0.10s  1.66%  runtime.adjustframe
     0.03s   0.5% 69.60%      0.04s  0.66%  runtime.mapiternext
     0.03s   0.5% 70.10%      0.15s  2.49%  runtime.pcvalue
     0.03s   0.5% 70.60%      0.20s  3.32%  runtime.slicebytetostring
     0.03s   0.5% 71.10%      0.10s  1.66%  runtime.step
     0.03s   0.5% 71.59%      0.07s  1.16%  runtime.sweepone
     0.03s   0.5% 72.09%      0.04s  0.66%  strings.genSplit
     0.02s  0.33% 72.43%      0.10s  1.66%  runtime.findrunnable
     0.02s  0.33% 72.76%      0.39s  6.48%  runtime.makeslice
     0.02s  0.33% 73.09%      0.04s  0.66%  runtime.mapiterinit
     0.02s  0.33% 73.42%      0.04s  0.66%  runtime.reentersyscall
     0.02s  0.33% 73.75%      0.04s  0.66%  runtime.scanblock
     0.02s  0.33% 74.09%      0.05s  0.83%  strings.FieldsFunc
     0.02s  0.33% 74.42%      0.06s     1%  syscall.ParseDirent
     0.01s  0.17% 74.58%      0.22s  3.65%  bytes.(*Buffer).ReadFrom
     0.01s  0.17% 74.75%      0.38s  6.31%  encoding/json.(*decodeState).array
     0.01s  0.17% 74.92%      0.04s  0.66%  encoding/json.(*decodeState).scanWhile
     0.01s  0.17% 75.08%      0.04s  0.66%  fmt.(*pp).doPrintf
     0.01s  0.17% 75.25%      0.85s 14.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
     0.01s  0.17% 75.42%      0.11s  1.83%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.getBlkioStat
     0.01s  0.17% 75.58%      0.10s  1.66%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).ReadFrame
     0.01s  0.17% 75.75%      0.18s  2.99%  github.com/openshift/origin/vendor/google.golang.org/grpc.invoke
     0.01s  0.17% 75.91%      0.06s     1%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/container.(*runtimeCache).GetPods
     0.01s  0.17% 76.08%      0.53s  8.80%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim/libdocker.instrumentedInterface.ListContainers
     0.01s  0.17% 76.25%      0.08s  1.33%  os.(*File).Close
     0.01s  0.17% 76.41%      0.91s 15.12%  os.(*File).readdir
     0.01s  0.17% 76.58%      0.07s  1.16%  reflect.Value.SetMapIndex
     0.01s  0.17% 76.74%      0.31s  5.15%  runtime.(*mcache).nextFree
     0.01s  0.17% 76.91%      0.27s  4.49%  runtime.(*mcentral).cacheSpan
     0.01s  0.17% 77.08%      0.08s  1.33%  runtime.callers
     0.01s  0.17% 77.24%      0.04s  0.66%  runtime.growWork
     0.01s  0.17% 77.41%      0.04s  0.66%  runtime.growslice
     0.01s  0.17% 77.57%      0.04s  0.66%  runtime.netpoll
     0.01s  0.17% 77.74%      0.05s  0.83%  runtime.newarray
     0.01s  0.17% 77.91%      0.13s  2.16%  runtime.notewakeup
     0.01s  0.17% 78.07%      0.14s  2.33%  runtime.rawstring
     0.01s  0.17% 78.24%      0.15s  2.49%  runtime.rawstringtmp
     0.01s  0.17% 78.41%      0.10s  1.66%  runtime.selectgo
     0.01s  0.17% 78.57%      0.09s  1.50%  runtime.selectgoImpl
     0.01s  0.17% 78.74%      1.63s 27.08%  runtime.systemstack
     0.01s  0.17% 78.90%      0.04s  0.66%  strings.Split
     0.01s  0.17% 79.07%      0.11s  1.83%  syscall.BytePtrFromString
     0.01s  0.17% 79.24%      0.58s  9.63%  syscall.Lstat
     0.01s  0.17% 79.40%      0.29s  4.82%  syscall.read
         0     0% 79.40%      0.06s     1%  bufio.(*Reader).Read
         0     0% 79.40%      0.16s  2.66%  bufio.(*Scanner).Scan
         0     0% 79.40%      0.09s  1.50%  bufio.(*Writer).Flush
         0     0% 79.40%      0.09s  1.50%  bytes.makeSlice
         0     0% 79.40%      0.04s  0.66%  crypto/tls.(*Conn).Write
         0     0% 79.40%      0.04s  0.66%  crypto/tls.(*Conn).writeRecordLocked
         0     0% 79.40%      0.53s  8.80%  encoding/json.(*Decoder).Decode
         0     0% 79.40%      0.04s  0.66%  encoding/json.(*Decoder).refill
         0     0% 79.40%      0.16s  2.66%  encoding/json.(*decodeState).literal
         0     0% 79.40%      0.14s  2.33%  encoding/json.(*decodeState).literalStore
         0     0% 79.40%      0.41s  6.81%  encoding/json.(*decodeState).unmarshal
         0     0% 79.40%      0.41s  6.81%  encoding/json.(*decodeState).value
         0     0% 79.40%      0.07s  1.16%  encoding/json.(*encodeState).marshal
         0     0% 79.40%      0.07s  1.16%  encoding/json.(*encodeState).reflectValue
         0     0% 79.40%      0.07s  1.16%  encoding/json.(*mapEncoder).(encoding/json.encode)-fm
         0     0% 79.40%      0.07s  1.16%  encoding/json.(*mapEncoder).encode
         0     0% 79.40%      0.07s  1.16%  encoding/json.Marshal
         0     0% 79.40%      0.05s  0.83%  fmt.Sprintf
         0     0% 79.40%      0.52s  8.64%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListContainers
         0     0% 79.40%      0.07s  1.16%  github.com/openshift/origin/pkg/cmd/util/docker.(*KubeDocker).ListImages
         0     0% 79.40%      0.08s  1.33%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerInspect
         0     0% 79.40%      0.52s  8.64%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ContainerList
         0     0% 79.40%      0.07s  1.16%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).ImageList
         0     0% 79.40%      0.08s  1.33%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).get
         0     0% 79.40%      0.08s  1.33%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendClientRequest
         0     0% 79.40%      0.08s  1.33%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client.(*Client).sendRequest
         0     0% 79.40%      0.06s     1%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do
         0     0% 79.40%      0.06s     1%  github.com/openshift/origin/vendor/github.com/docker/engine-api/client/transport/cancellable.Do.func1
         0     0% 79.40%      0.07s  1.16%  github.com/openshift/origin/vendor/github.com/docker/engine-api/types/filters.ToParamWithVersion
         0     0% 79.40%      0.06s     1%  github.com/openshift/origin/vendor/github.com/docker/go-connections/sockets.ConfigureTransport.func1
         0     0% 79.40%      0.06s     1%  github.com/openshift/origin/vendor/github.com/golang/protobuf/proto.Marshal
         0     0% 79.40%      0.06s     1%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container.NewContainerHandler
         0     0% 79.40%      0.42s  6.98%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
         0     0% 79.40%      0.31s  5.15%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListContainers
         0     0% 79.40%      0.31s  5.15%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.ListDirectories
         0     0% 79.40%      0.28s  4.65%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readString
         0     0% 79.40%      0.24s  3.99%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readUInt64
         0     0% 79.40%      0.10s  1.66%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).GetStats
         0     0% 79.40%      0.04s  0.66%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerFactory).CanHandleAndAccept
         0     0% 79.40%      0.82s 13.62%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0% 79.40%      0.42s  6.98%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetSpec
         0     0% 79.40%      0.72s 11.96%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0% 79.40%      0.31s  5.15%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).ListContainers
         0     0% 79.40%      0.04s  0.66%  github.com/openshift/origin/vendor/github.com/google/cadvisor/info/v1.(*ContainerStats).StatsEq
         0     0% 79.40%      0.43s  7.14%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).GetInfo
         0     0% 79.40%      0.89s 14.78%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
