90.01MB of 90.01MB total (  100%)
Dropped 1609 nodes (cum <= 0.45MB)
      flat  flat%   sum%        cum   cum%
      18MB 20.00% 20.00%       18MB 20.00%  runtime.rawstringtmp
   11.46MB 12.73% 32.73%    11.46MB 12.73%  runtime.hashGrow
    8.82MB  9.80% 42.52%     8.82MB  9.80%  bytes.makeSlice
    8.51MB  9.45% 51.97%    11.01MB 12.23%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
       7MB  7.78% 59.75%    18.46MB 20.51%  runtime.mapassign
    5.53MB  6.15% 65.90%     5.53MB  6.15%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    4.05MB  4.50% 70.40%     4.05MB  4.50%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
       3MB  3.33% 73.73%        3MB  3.33%  runtime.makemap
    1.50MB  1.67% 75.40%        2MB  2.22%  crypto/x509.parseCertificate
    1.50MB  1.67% 77.06%        3MB  3.34%  io/ioutil.readAll
    1.19MB  1.32% 78.39%     1.19MB  1.32%  runtime.stringtoslicebyte
    1.02MB  1.14% 79.52%     1.02MB  1.14%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.11% 80.64%        1MB  1.11%  encoding/pem.Decode
       1MB  1.11% 81.75%        1MB  1.11%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setCpuStats
    0.79MB  0.88% 82.63%     0.79MB  0.88%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.62MB  0.69% 83.32%     0.62MB  0.69%  runtime.makechan
    0.51MB  0.56% 83.88%     0.51MB  0.56%  regexp/syntax.(*compiler).quest
    0.50MB  0.56% 84.44%     0.50MB  0.56%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.50MB  0.56% 85.00%     0.50MB  0.56%  regexp.(*bitState).reset
    0.50MB  0.56% 85.55%     4.55MB  5.05%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.56% 86.11%     0.50MB  0.56%  regexp/syntax.Compile
    0.50MB  0.56% 86.67%     0.50MB  0.56%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*WebService).Route
    0.50MB  0.56% 87.22%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newSerializersForScheme
    0.50MB  0.56% 87.78%        1MB  1.11%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
    0.50MB  0.56% 88.33%     0.50MB  0.56%  reflect.unsafe_New
    0.50MB  0.56% 88.89%     0.50MB  0.56%  runtime.malg
    0.50MB  0.56% 89.44%     0.50MB  0.56%  crypto/x509/pkix.(*Name).FillFromRDNSequence
    0.50MB  0.56% 90.00%     1.50MB  1.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB  0.56% 90.56%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
    0.50MB  0.56% 91.11%     0.50MB  0.56%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
    0.50MB  0.56% 91.67%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/server/stats.(*volumeStatCalculator).calcAndStoreStats
    0.50MB  0.56% 92.22%     0.50MB  0.56%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.50MB  0.56% 92.78%     0.50MB  0.56%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    0.50MB  0.56% 93.33%     0.50MB  0.56%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
    0.50MB  0.56% 93.89%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*Container).Unmarshal
    0.50MB  0.56% 94.44%        1MB  1.11%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PersistentVolumeSpec).Unmarshal
