64.72MB of 64.72MB total (  100%)
Dropped 1521 nodes (cum <= 0.32MB)
      flat  flat%   sum%        cum   cum%
      16MB 24.73% 24.73%       16MB 24.73%  runtime.rawstringtmp
    8.46MB 13.08% 37.80%     8.46MB 13.08%  runtime.hashGrow
    5.50MB  8.51% 46.31%        6MB  9.28%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    5.50MB  8.50% 54.81%    13.97MB 21.58%  runtime.mapassign
    5.04MB  7.79% 62.61%     5.04MB  7.79%  bytes.makeSlice
    4.05MB  6.25% 68.86%     4.05MB  6.25%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
       2MB  3.09% 71.95%        2MB  3.09%  runtime.makemap
    1.51MB  2.33% 74.28%     1.51MB  2.33%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    1.50MB  2.32% 76.60%        2MB  3.09%  crypto/x509.parseCertificate
    1.19MB  1.84% 78.44%     1.19MB  1.84%  runtime.stringtoslicebyte
    1.02MB  1.58% 80.02%     1.02MB  1.58%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.55% 81.57%        1MB  1.55%  encoding/pem.Decode
    0.79MB  1.22% 82.79%     0.79MB  1.22%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.62MB  0.96% 83.75%     0.62MB  0.96%  runtime.makechan
    0.51MB  0.78% 84.53%     0.51MB  0.78%  regexp/syntax.(*compiler).quest
    0.50MB  0.78% 85.31%     0.50MB  0.78%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.50MB  0.78% 86.09%     0.50MB  0.78%  regexp.(*bitState).reset
    0.50MB  0.78% 86.86%     4.55MB  7.03%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.77% 87.63%     0.50MB  0.77%  regexp/syntax.Compile
    0.50MB  0.77% 88.41%     0.50MB  0.77%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*WebService).Route
    0.50MB  0.77% 89.18%     0.50MB  0.77%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newSerializersForScheme
