49557.16kB of 49557.16kB total (  100%)
Dropped 1409 nodes (cum <= 247.79kB)
      flat  flat%   sum%        cum   cum%
 9217.74kB 18.60% 18.60%  9217.74kB 18.60%  runtime.rawstringtmp
 5357.21kB 10.81% 29.41%  5357.21kB 10.81%  runtime.hashGrow
 4568.91kB  9.22% 38.63%  4568.91kB  9.22%  bytes.makeSlice
 4144.18kB  8.36% 46.99%  4144.18kB  8.36%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 4099.50kB  8.27% 55.26%  4611.52kB  9.31%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
 3073.19kB  6.20% 61.47%  8430.40kB 17.01%  runtime.mapassign
 1537.69kB  3.10% 64.57%  2049.84kB  4.14%  crypto/x509.parseCertificate
    1219kB  2.46% 67.03%     1219kB  2.46%  runtime.stringtoslicebyte
 1048.19kB  2.12% 69.14%  1048.19kB  2.12%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
    1026kB  2.07% 71.21%     1026kB  2.07%  encoding/pem.Decode
 1024.46kB  2.07% 73.28%  1024.46kB  2.07%  runtime.makemap
  809.97kB  1.63% 74.92%   809.97kB  1.63%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  636.73kB  1.28% 76.20%   636.73kB  1.28%  runtime.makechan
  517.33kB  1.04% 77.24%   517.33kB  1.04%  regexp/syntax.(*compiler).quest
     515kB  1.04% 78.28%      515kB  1.04%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
     515kB  1.04% 79.32%      515kB  1.04%  regexp.(*bitState).reset
     514kB  1.04% 80.36%  4658.18kB  9.40%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
     514kB  1.04% 81.40%  1026.08kB  2.07%  os.(*File).readdirnames
  512.62kB  1.03% 82.43%   512.62kB  1.03%  regexp/syntax.Compile
  512.56kB  1.03% 83.47%   512.56kB  1.03%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*WebService).Route
  512.34kB  1.03% 84.50%   512.34kB  1.03%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newSerializersForScheme
  512.28kB  1.03% 85.53%   512.28kB  1.03%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
  512.23kB  1.03% 86.57%  1024.26kB  2.07%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
  512.23kB  1.03% 87.60%   512.23kB  1.03%  reflect.unsafe_New
  512.16kB  1.03% 88.63%   512.16kB  1.03%  crypto/x509/pkix.(*Name).FillFromRDNSequence
