25285.48kB of 25285.48kB total (  100%)
Dropped 812 nodes (cum <= 126.43kB)
      flat  flat%   sum%        cum   cum%
 4144.18kB 16.39% 16.39%  4144.18kB 16.39%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 2713.02kB 10.73% 27.12%  2713.02kB 10.73%  runtime.hashGrow
 2413.56kB  9.55% 36.66%  2413.56kB  9.55%  bytes.makeSlice
 2049.03kB  8.10% 44.77%  2049.03kB  8.10%  runtime.rawstringtmp
 1537.69kB  6.08% 50.85%  2049.84kB  8.11%  crypto/x509.parseCertificate
 1537.31kB  6.08% 56.93%  1537.31kB  6.08%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    1219kB  4.82% 61.75%     1219kB  4.82%  runtime.stringtoslicebyte
 1042.12kB  4.12% 65.87%  1042.12kB  4.12%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
    1026kB  4.06% 69.93%     1026kB  4.06%  encoding/pem.Decode
 1024.46kB  4.05% 73.98%  1024.46kB  4.05%  runtime.makemap
 1024.31kB  4.05% 78.03%  3737.33kB 14.78%  runtime.mapassign
  809.97kB  3.20% 81.23%   809.97kB  3.20%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  636.73kB  2.52% 83.75%   636.73kB  2.52%  runtime.makechan
  517.33kB  2.05% 85.80%   517.33kB  2.05%  regexp/syntax.(*compiler).quest
     515kB  2.04% 87.84%      515kB  2.04%  regexp.(*bitState).reset
     514kB  2.03% 89.87%  4658.18kB 18.42%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
  512.62kB  2.03% 91.90%   512.62kB  2.03%  regexp/syntax.Compile
  512.56kB  2.03% 93.92%   512.56kB  2.03%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*WebService).Route
  512.34kB  2.03% 95.95%   512.34kB  2.03%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newSerializersForScheme
  512.16kB  2.03% 97.97%   512.16kB  2.03%  crypto/x509/pkix.(*Name).FillFromRDNSequence
  512.08kB  2.03%   100%   512.08kB  2.03%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
         0     0%   100%  2413.56kB  9.55%  bytes.(*Buffer).ReadFrom
         0     0%   100%  3075.84kB 12.16%  crypto/tls.(*Conn).Handshake
         0     0%   100%  3075.84kB 12.16%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%  3075.84kB 12.16%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%  3075.84kB 12.16%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%  3075.84kB 12.16%  crypto/x509.(*Certificate).Verify
         0     0%   100%  2049.84kB  8.11%  crypto/x509.ParseCertificate
         0     0%   100%  3075.84kB 12.16%  crypto/x509.initSystemRoots
         0     0%   100%  3075.84kB 12.16%  crypto/x509.loadSystemRoots
         0     0%   100%  3075.84kB 12.16%  crypto/x509.systemRootsPool
         0     0%   100%   512.34kB  2.03%  fmt.Sprintf
         0     0%   100%   609.50kB  2.41%  github.com/openshift/origin/pkg/auth/server/errorpage.init
         0     0%   100%   609.50kB  2.41%  github.com/openshift/origin/pkg/auth/server/selectprovider.init
         0     0%   100%   512.34kB  2.03%  github.com/openshift/origin/pkg/build/apis/build/validation.init
         0     0%   100%   512.34kB  2.03%  github.com/openshift/origin/pkg/build/builder.init
         0     0%   100%  1024.69kB  4.05%  github.com/openshift/origin/pkg/build/builder/cmd.init
         0     0%   100%   512.34kB  2.03%  github.com/openshift/origin/pkg/build/controller/strategy.init
         0     0%   100%  2049.94kB  8.11%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%  2048.63kB  8.10%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0%   100%  2048.63kB  8.10%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0%   100%  8907.63kB 35.23%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0%   100%   512.34kB  2.03%  github.com/openshift/origin/pkg/cmd/server/admin.NewCommandCreateServerCert
         0     0%   100%  1731.02kB  6.85%  github.com/openshift/origin/pkg/cmd/server/admin.init
         0     0%   100%   512.34kB  2.03%  github.com/openshift/origin/pkg/cmd/server/api.init
         0     0%   100%   512.02kB  2.02%  github.com/openshift/origin/pkg/cmd/server/kubernetes/master.init
         0     0%   100%  1154.75kB  4.57%  github.com/openshift/origin/pkg/cmd/server/kubernetes/node.(*NodeConfig).RunKubelet.func1
         0     0%   100%   513.12kB  2.03%  github.com/openshift/origin/pkg/cmd/server/origin.init
         0     0%   100%      514kB  2.03%  github.com/openshift/origin/pkg/cmd/server/origin/controller.init
         0     0%   100%   512.02kB  2.02%  github.com/openshift/origin/pkg/cmd/server/origin/rest.init
         0     0%   100%   512.17kB  2.03%  github.com/openshift/origin/pkg/cmd/server/start.NewCommandStartAllInOne
         0     0%   100%  6344.13kB 25.09%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0%   100%   512.17kB  2.03%  github.com/openshift/origin/pkg/cmd/server/start/kubernetes.NewCommand
         0     0%   100%   512.34kB  2.03%  github.com/openshift/origin/pkg/image/apis/image/validation.init
         0     0%   100%   518.02kB  2.05%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0%   100%   518.02kB  2.05%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0%   100%   518.02kB  2.05%  github.com/openshift/origin/pkg/network/node.(*nodeVNIDMap).(github.com/openshift/origin/pkg/network/node.watchNetNamespaces)-fm
