16.62s of 20.51s total (81.03%)
Dropped 934 nodes (cum <= 0.10s)
      flat  flat%   sum%        cum   cum%
     3.05s 14.87% 14.87%      3.22s 15.70%  syscall.Syscall
     2.53s 12.34% 27.21%      3.99s 19.45%  runtime.scanobject
     0.83s  4.05% 31.25%      0.83s  4.05%  runtime.heapBitsForObject
     0.81s  3.95% 35.20%      0.81s  3.95%  runtime.memclrNoHeapPointers
     0.76s  3.71% 38.91%      0.76s  3.71%  runtime.greyobject
     0.74s  3.61% 42.52%      2.61s 12.73%  runtime.mallocgc
     0.73s  3.56% 46.08%      0.73s  3.56%  syscall.Syscall6
     0.71s  3.46% 49.54%      0.72s  3.51%  encoding/json.stateInString
     0.61s  2.97% 52.51%      1.29s  6.29%  encoding/json.(*Decoder).readValue
     0.55s  2.68% 55.19%      0.55s  2.68%  runtime.memmove
     0.47s  2.29% 57.48%      0.93s  4.53%  encoding/json.(*decodeState).scanWhile
     0.32s  1.56% 59.04%      1.14s  5.56%  runtime.mapassign
     0.30s  1.46% 60.51%      0.30s  1.46%  runtime.heapBitsSetType
     0.26s  1.27% 61.77%      0.26s  1.27%  runtime.futex
     0.22s  1.07% 62.85%      0.25s  1.22%  runtime.mapiternext
     0.21s  1.02% 63.87%      3.25s 15.85%  encoding/json.(*decodeState).object
     0.21s  1.02% 64.90%      0.22s  1.07%  encoding/json.unquoteBytes
     0.20s  0.98% 65.87%      0.20s  0.98%  runtime.readvarint
     0.18s  0.88% 66.75%      0.79s  3.85%  runtime.gentraceback
     0.15s  0.73% 67.48%      0.29s  1.41%  runtime.evacuate
     0.15s  0.73% 68.21%      1.13s  5.51%  runtime.makeslice
     0.15s  0.73% 68.94%      0.38s  1.85%  runtime.pcvalue
     0.14s  0.68% 69.62%      0.14s  0.68%  runtime.aeshashbody
     0.14s  0.68% 70.31%      3.94s 19.21%  runtime.gcDrain
     0.13s  0.63% 70.94%      0.13s  0.63%  runtime._ExternalCode
     0.13s  0.63% 71.57%      0.13s  0.63%  runtime.unlock
     0.12s  0.59% 72.16%      0.16s  0.78%  path.Clean
     0.11s  0.54% 72.70%      0.12s  0.59%  runtime.lock
     0.10s  0.49% 73.18%      6.24s 30.42%  runtime.systemstack
     0.08s  0.39% 73.57%      0.13s  0.63%  runtime.mapaccess2_faststr
     0.08s  0.39% 73.96%      0.11s  0.54%  strings.FieldsFunc
     0.07s  0.34% 74.31%      0.15s  0.73%  runtime.mapaccess1
     0.07s  0.34% 74.65%      0.82s  4.00%  runtime.newobject
     0.06s  0.29% 74.94%      0.22s  1.07%  runtime.sweepone
     0.05s  0.24% 75.18%      0.18s  0.88%  runtime.adjustframe
     0.05s  0.24% 75.43%      0.11s  0.54%  runtime.makemap
     0.05s  0.24% 75.67%      0.42s  2.05%  runtime.rawstring
     0.05s  0.24% 75.91%      0.59s  2.88%  runtime.slicebytetostring
     0.05s  0.24% 76.16%      0.23s  1.12%  runtime.typedmemmove
     0.05s  0.24% 76.40%      0.32s  1.56%  syscall.ByteSliceFromString
     0.04s   0.2% 76.60%      0.22s  1.07%  encoding/json.(*decodeState).indirect
     0.04s   0.2% 76.79%      0.59s  2.88%  encoding/json.(*decodeState).literalStore
     0.04s   0.2% 76.99%      0.16s  0.78%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).MarshalTo
     0.04s   0.2% 77.18%      0.28s  1.37%  reflect.deepValueEqual
     0.04s   0.2% 77.38%      0.60s  2.93%  runtime.(*mcentral).cacheSpan
     0.04s   0.2% 77.57%      0.13s  0.63%  runtime.writebarrierptr_prewrite1
     0.04s   0.2% 77.77%      1.59s  7.75%  syscall.Lstat
     0.03s  0.15% 77.91%      0.12s  0.59%  encoding/json.cachedTypeFields
     0.03s  0.15% 78.06%      0.30s  1.46%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.03s  0.15% 78.21%      0.73s  3.56%  runtime.(*mcache).nextFree
     0.03s  0.15% 78.35%      0.45s  2.19%  runtime.rawstringtmp
     0.02s 0.098% 78.45%      3.26s 15.89%  encoding/json.(*decodeState).array
     0.02s 0.098% 78.55%      2.04s  9.95%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
     0.02s 0.098% 78.64%      0.17s  0.83%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.02s 0.098% 78.74%      0.35s  1.71%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.02s 0.098% 78.84%      1.28s  6.24%  io/ioutil.ReadFile
     0.02s 0.098% 78.94%      0.15s  0.73%  reflect.New
     0.02s 0.098% 79.03%      0.18s  0.88%  reflect.makeString
     0.02s 0.098% 79.13%      0.15s  0.73%  runtime.concatstrings
     0.02s 0.098% 79.23%      0.28s  1.37%  runtime.findrunnable
     0.02s 0.098% 79.33%      0.11s  0.54%  runtime.gcmarkwb_m
     0.02s 0.098% 79.42%      0.49s  2.39%  runtime.newarray
     0.02s 0.098% 79.52%      0.21s  1.02%  runtime.selectgoImpl
     0.02s 0.098% 79.62%      0.22s  1.07%  runtime.step
     0.01s 0.049% 79.67%      3.33s 16.24%  encoding/json.(*decodeState).value
     0.01s 0.049% 79.72%      1.31s  6.39%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.GetSpec
     0.01s 0.049% 79.77%      0.71s  3.46%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.readUInt64
     0.01s 0.049% 79.81%      1.92s  9.36%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
     0.01s 0.049% 79.86%      0.58s  2.83%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*protoCodec).Unmarshal
     0.01s 0.049% 79.91%      0.20s  0.98%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListContainersResponse).Unmarshal
     0.01s 0.049% 79.96%      0.12s  0.59%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Size
     0.01s 0.049% 80.01%      4.34s 21.16%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim/libdocker.instrumentedInterface.ListContainers
