59.82MB of 59.82MB total (  100%)
Dropped 1438 nodes (cum <= 0.30MB)
      flat  flat%   sum%        cum   cum%
    9.50MB 15.88% 15.88%     9.50MB 15.88%  runtime.rawstringtmp
    7.25MB 12.11% 28.00%     7.25MB 12.11%  runtime.hashGrow
    6.50MB 10.87% 38.86%    13.75MB 22.98%  runtime.mapassign
       5MB  8.36% 47.23%     5.50MB  9.20%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    4.46MB  7.46% 54.69%     4.46MB  7.46%  bytes.makeSlice
    4.05MB  6.76% 61.45%     4.05MB  6.76%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    1.50MB  2.51% 63.96%        2MB  3.35%  crypto/x509.parseCertificate
    1.50MB  2.51% 66.47%     1.50MB  2.51%  runtime.makemap
    1.19MB  1.99% 68.46%     1.19MB  1.99%  runtime.stringtoslicebyte
    1.02MB  1.71% 70.17%     1.02MB  1.71%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.67% 71.85%        1MB  1.67%  encoding/pem.Decode
       1MB  1.67% 73.52%        1MB  1.67%  reflect.unsafe_New
    0.79MB  1.32% 74.84%     0.79MB  1.32%  encoding/json.(*Decoder).refill
    0.79MB  1.32% 76.16%     0.79MB  1.32%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.62MB  1.04% 77.20%     0.62MB  1.04%  runtime.makechan
    0.61MB  1.02% 78.22%     0.61MB  1.02%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*parser).recvMsg
    0.51MB  0.85% 79.07%     0.51MB  0.85%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Client).handleData
    0.51MB  0.84% 79.91%     0.51MB  0.84%  regexp/syntax.(*compiler).quest
    0.50MB  0.84% 80.75%     0.50MB  0.84%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer.func1
    0.50MB  0.84% 81.59%     0.50MB  0.84%  regexp.(*bitState).reset
    0.50MB  0.84% 82.43%     0.50MB  0.84%  github.com/openshift/origin/vendor/github.com/godbus/dbus.(*unixTransport).ReadMessage
    0.50MB  0.84% 83.27%     0.50MB  0.84%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*Secret).Unmarshal
    0.50MB  0.84% 84.11%     0.50MB  0.84%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    0.50MB  0.84% 84.95%     4.55MB  7.60%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    0.50MB  0.84% 85.79%     0.50MB  0.84%  regexp/syntax.Compile
    0.50MB  0.84% 86.62%     0.50MB  0.84%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*WebService).Route
    0.50MB  0.84% 87.46%     0.50MB  0.84%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newSerializersForScheme
    0.50MB  0.84% 88.30%     0.50MB  0.84%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
    0.50MB  0.84% 89.13%        1MB  1.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_PodSpec
    0.50MB  0.84% 89.97%     0.50MB  0.84%  crypto/x509/pkix.(*Name).FillFromRDNSequence
    0.50MB  0.84% 90.81%     0.50MB  0.84%  github.com/openshift/origin/vendor/golang.org/x/net/trace.(*histogram).Add
    0.50MB  0.84% 91.64%        1MB  1.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
    0.50MB  0.84% 92.48%     0.50MB  0.84%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
    0.50MB  0.84% 93.31%     0.50MB  0.84%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
    0.50MB  0.84% 94.15%     0.50MB  0.84%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
    0.50MB  0.84% 94.99%     0.50MB  0.84%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.newContainerData
    0.50MB  0.84% 95.82%        1MB  1.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PersistentVolumeSpec).Unmarshal
    0.50MB  0.84% 96.66%        6MB 10.04%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
    0.50MB  0.84% 97.49%     0.50MB  0.84%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.DeepCopy_v1_SecurityContext
    0.50MB  0.84% 98.33%     0.50MB  0.84%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ContainerConfig).Unmarshal
    0.50MB  0.84% 99.16%        1MB  1.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/kuberuntime.(*kubeGenericRuntimeManager).generateContainerConfig
    0.50MB  0.84%   100%     0.50MB  0.84%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSecurityContext).Unmarshal
         0     0%   100%     3.51MB  5.87%  bytes.(*Buffer).ReadFrom
         0     0%   100%     0.95MB  1.59%  bytes.(*Buffer).WriteString
         0     0%   100%     0.95MB  1.59%  bytes.(*Buffer).grow
         0     0%   100%        3MB  5.02%  crypto/tls.(*Conn).Handshake
         0     0%   100%        3MB  5.02%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%        3MB  5.02%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%        3MB  5.02%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%        3MB  5.02%  crypto/x509.(*Certificate).Verify
         0     0%   100%        2MB  3.35%  crypto/x509.ParseCertificate
         0     0%   100%        3MB  5.02%  crypto/x509.initSystemRoots
         0     0%   100%        3MB  5.02%  crypto/x509.loadSystemRoots
         0     0%   100%        3MB  5.02%  crypto/x509.systemRootsPool
         0     0%   100%     5.29MB  8.85%  encoding/json.(*Decoder).Decode
         0     0%   100%     0.79MB  1.32%  encoding/json.(*Decoder).readValue
         0     0%   100%        3MB  5.02%  encoding/json.(*decodeState).array
         0     0%   100%     2.50MB  4.18%  encoding/json.(*decodeState).literal
         0     0%   100%     2.50MB  4.18%  encoding/json.(*decodeState).literalStore
         0     0%   100%     4.50MB  7.53%  encoding/json.(*decodeState).object
         0     0%   100%     4.50MB  7.53%  encoding/json.(*decodeState).unmarshal
         0     0%   100%     4.50MB  7.53%  encoding/json.(*decodeState).value
