78.18s of 94.87s total (82.41%)
Dropped 1295 nodes (cum <= 0.47s)
      flat  flat%   sum%        cum   cum%
    12.33s 13.00% 13.00%     20.90s 22.03%  runtime.scanobject
    10.57s 11.14% 24.14%     11.09s 11.69%  syscall.Syscall
     4.76s  5.02% 29.16%      4.76s  5.02%  runtime.heapBitsForObject
     4.46s  4.70% 33.86%      4.47s  4.71%  runtime.greyobject
     4.34s  4.57% 38.43%      4.34s  4.57%  runtime.memclrNoHeapPointers
     3.76s  3.96% 42.39%     14.29s 15.06%  runtime.mallocgc
     3.50s  3.69% 46.08%      3.56s  3.75%  encoding/json.stateInString
     2.78s  2.93% 49.01%      2.85s  3.00%  syscall.Syscall6
     2.68s  2.82% 51.84%      5.29s  5.58%  encoding/json.(*decodeState).scanWhile
     2.25s  2.37% 54.21%      2.25s  2.37%  runtime.memmove
     2.21s  2.33% 56.54%      5.36s  5.65%  encoding/json.(*Decoder).readValue
     1.73s  1.82% 58.36%      6.60s  6.96%  runtime.mapassign
     1.52s  1.60% 59.97%     21.05s 22.19%  encoding/json.(*decodeState).object
     1.50s  1.58% 61.55%      1.56s  1.64%  encoding/json.unquoteBytes
     1.45s  1.53% 63.08%      1.69s  1.78%  runtime.mapiternext
     1.25s  1.32% 64.39%      1.25s  1.32%  runtime.aeshashbody
     1.18s  1.24% 65.64%      1.18s  1.24%  runtime.heapBitsSetType
     1.01s  1.06% 66.70%      1.01s  1.06%  runtime.futex
     0.70s  0.74% 67.44%      0.70s  0.74%  runtime.(*mSpanList).remove
     0.61s  0.64% 68.08%      0.75s  0.79%  path.Clean
     0.60s  0.63% 68.72%     18.88s 19.90%  runtime.gcDrain
     0.58s  0.61% 69.33%      1.69s  1.78%  runtime.evacuate
     0.48s  0.51% 69.83%      1.61s  1.70%  runtime.typedmemmove
     0.46s  0.48% 70.32%      1.16s  1.22%  runtime.pcvalue
     0.45s  0.47% 70.79%      1.34s  1.41%  runtime.sweepone
     0.39s  0.41% 71.20%      0.66s   0.7%  runtime.mapaccess2_faststr
     0.39s  0.41% 71.61%      3.09s  3.26%  runtime.rawstring
     0.36s  0.38% 71.99%      0.74s  0.78%  runtime.bulkBarrierPreWrite
     0.36s  0.38% 72.37%      2.29s  2.41%  runtime.gentraceback
     0.35s  0.37% 72.74%      0.65s  0.69%  reflect.(*rtype).String
     0.34s  0.36% 73.10%      4.29s  4.52%  runtime.newobject
     0.34s  0.36% 73.46%     31.42s 33.12%  runtime.systemstack
     0.32s  0.34% 73.80%      0.64s  0.67%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.32s  0.34% 74.13%      0.95s  1.00%  reflect.(*rtype).Name
     0.31s  0.33% 74.46%      1.13s  1.19%  runtime.writebarrierptr_prewrite1
     0.30s  0.32% 74.78%      1.07s  1.13%  runtime.convT2E
     0.30s  0.32% 75.09%      0.69s  0.73%  runtime.mapaccess1
     0.29s  0.31% 75.40%      0.61s  0.64%  runtime.scanblock
     0.28s   0.3% 75.69%      3.80s  4.01%  runtime.slicebytetostring
