36398.31kB of 36398.31kB total (  100%)
Dropped 1316 nodes (cum <= 181.99kB)
      flat  flat%   sum%        cum   cum%
 5121.33kB 14.07% 14.07%  5121.33kB 14.07%  runtime.rawstringtmp
 4144.18kB 11.39% 25.46%  4144.18kB 11.39%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 4099.50kB 11.26% 36.72%  4099.50kB 11.26%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
 3229.66kB  8.87% 45.59%  3229.66kB  8.87%  runtime.hashGrow
 3223.53kB  8.86% 54.45%  3223.53kB  8.86%  bytes.makeSlice
 2048.59kB  5.63% 60.08%  5278.25kB 14.50%  runtime.mapassign
 1537.69kB  4.22% 64.30%  2049.84kB  5.63%  crypto/x509.parseCertificate
    1219kB  3.35% 67.65%     1219kB  3.35%  runtime.stringtoslicebyte
 1048.19kB  2.88% 70.53%  1048.19kB  2.88%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
    1026kB  2.82% 73.35%     1026kB  2.82%  encoding/pem.Decode
 1024.46kB  2.81% 76.16%  1024.46kB  2.81%  runtime.makemap
  809.97kB  2.23% 78.39%   809.97kB  2.23%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  636.73kB  1.75% 80.14%   636.73kB  1.75%  runtime.makechan
  553.04kB  1.52% 81.66%   553.04kB  1.52%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*parser).recvMsg
  520.04kB  1.43% 83.09%   520.04kB  1.43%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Client).handleData
  517.33kB  1.42% 84.51%   517.33kB  1.42%  regexp/syntax.(*compiler).quest
     515kB  1.41% 85.92%      515kB  1.41%  regexp.(*bitState).reset
     514kB  1.41% 87.33%  4658.18kB 12.80%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
  512.62kB  1.41% 88.74%   512.62kB  1.41%  regexp/syntax.Compile
  512.56kB  1.41% 90.15%   512.56kB  1.41%  github.com/openshift/origin/vendor/github.com/emicklei/go-restful.(*WebService).Route
  512.34kB  1.41% 91.56%   512.34kB  1.41%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime/serializer.newSerializersForScheme
  512.16kB  1.41% 92.97%   512.16kB  1.41%  crypto/x509/pkix.(*Name).FillFromRDNSequence
  512.16kB  1.41% 94.37%   512.16kB  1.41%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*PodSpec).Unmarshal
  512.09kB  1.41% 95.78%   512.09kB  1.41%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/docker.(*dockerContainerHandler).getFsStats
  512.08kB  1.41% 97.19%   512.08kB  1.41%  github.com/openshift/origin/vendor/github.com/spf13/pflag.(*FlagSet).VarPF
